Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Sergey Brin,39.8,43,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Technology,male,"Google, Self Made","Master of Science, Stanford University; Bachelor of Arts / Science, University of Maryland, College Park",2,1,North America,2017,,1998,Founder,The Consistent,25
Liliane Bettencourt,39.5,94,France,N,N,N,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,female,L'Oreal,NA,0,1,Europe,2017,,1909,,The Consistent,
S. Robson Walton,34.1,72,United States,N,N,Y,N,N,N,Y,N,2007,11,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, University of Arkansas; Doctor of Jurisprudence, Columbia University",2,1,North America,2017,,,,The Consistent,
Jim Walton,34,68,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, University of Arkansas",1,1,North America,2017,,,,The Consistent,
Alice Walton,33.8,67,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,female,Wal-Mart,"Bachelor of Arts / Science, Trinity University",1,1,North America,2017,,,,The Consistent,
Ingvar Kamprad,33,88,Sweden,Y,N,N,N,N,N,N,N,2007,9,1,0,0,Retail,male,"Ikea, Self Made",NA,0,0.82,Europe,2015,2016,1943,,The Hustler,17
Wang Jianlin,31.3,62,China,Y,N,N,N,N,N,N,Y,2010,8,0,0,0,Real Estate,male,"real estate, Self Made",Liaoning University,1,1,Asia,2017,,1988,,The Consistent,34
Li Ka-shing,31.2,88,Hong Kong,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Diversified,male,"diversified, Self Made","Drop Out, High School",0,1,Asia,2017,,1971,Founder,The Consistent,43
Sheldon Adelson,30.4,83,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Gaming,male,"casinos, Self Made","Drop Out, City College of New York",0,1,North America,2017,,1988,Founder,The Consistent,55
Steve Ballmer,30,61,United States,Y,Y,Y,N,N,N,N,N,2007,11,0,0,0,Technology,male,"Microsoft, Self Made","Bachelor of Arts / Science, Harvard University; Drop Out, Stanford University",1,1,North America,2017,,1975,,The Consistent,20
Jorge Paulo Lemann,29.2,77,Brazil,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,"beer, Self Made","Bachelor of Arts / Science, Harvard University",1,1,South America,2017,,1999,Founder,The Consistent,60
Jack Ma,28.3,52,China,Y,N,Y,N,N,N,N,N,2008,9,1,1,1,Software,male,"e-commerce, Self Made","Bachelor of Arts / Science, Hangzhou Teacher's Institute",1,0.9,Asia,2017,2009,1999,,The Consistent,35
Beate Heister & Karl Albrecht Jr.,27.2,-,Germany,N,N,N,N,N,N,N,N,2015,3,0,0,0,Construction and Engineering,family,Germany,NA,0,1,Europe,2017,,,,The Newbie,
David Thomson,27.2,59,Canada,N,N,N,Y,N,N,N,N,2007,11,0,0,0,Media,male,media,"Master of Arts, University of Cambridge",1,1,North America,2017,,1934,Relation,The Consistent,
John Mars,27,81,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,candy,"Bachelor of Arts / Science, Yale University; Diploma, The Hotchkiss School",2,1,North America,2017,,,Relation,The Consistent,
Jacqueline Mars,27,77,United States,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,female,candy,"Bachelor of Arts / Science, Bryn Mawr College",1,1,North America,2017,,,,The Consistent,
Phil Knight,26.2,79,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Fashion and Retail,male,"Nike, Self Made","Bachelor of Arts / Science, University of Oregon; Master of Business Administration, Stanford Graduate School of Business",2,1,North America,2017,,1964,,The Consistent,27
George Soros,25.2,86,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, London School of Economics",1,1,North America,2017,,1969,,The Consistent,39
Maria Franca Fissolo,25.2,82,Italy,N,N,N,N,N,N,N,N,2015,3,0,0,0,Food and Beverage,female,"Nutella, chocolates",NA,0,1,Europe,2017,,,,The Newbie,
Ma Huateng,24.9,45,China,Y,N,Y,N,N,N,N,N,2008,10,0,0,0,Software,male,"internet media, Self Made","Bachelor of Arts / Science, Shenzhen University",1,1,Asia,2017,,1998,Founder,The Consistent,27
Lee Shau Kee,24.4,89,Hong Kong,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Asia,2017,,1976,Founder/Chairman,The Consistent,49
Mukesh Ambani,23.2,59,India,N,Y,Y,N,N,N,N,N,2007,11,0,0,0,Energy,male,"petrochemicals, oil &gas","Bachelor of Science in Engineering, University of Bombay; Drop Out, Stanford University",1,1,Asia,2017,,,,The Consistent,
Masayoshi Son,21.2,59,Japan,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Telecom,male,"internet, telecom, Self Made","Bachelor of Arts / Science, University of California Berkeley",1,1,Asia,2017,,1981,Founder/Ceo,The Consistent,24
Kjeld Kirk Kristiansen,21.1,69,Denmark,N,N,Y,N,Y,N,N,N,2007,11,0,0,0,Manufacturing,male,Lego,"Bachelor of Arts / Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development",2,1,Europe,2017,,1949,,The Consistent,
Georg Schaeffler,20.7,52,Germany,N,N,N,N,N,N,N,N,2014,4,0,0,0,Manufacturing,male,automotive,NA,0,1,Europe,2017,,1946,Relation,The Consistent,
Joseph Safra,20.5,78,Brazil,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Finance,male,"banking, Self Made",NA,0,1,South America,2017,,1955,Founder,The Consistent,17
Susanne Klatten,20.4,54,Germany,N,N,N,N,Y,N,N,N,2007,11,0,0,0,Automotive,female,"BMW, pharmaceuticals","Master of Business Administration, International Institute for Management and Development",1,1,Europe,2017,,,Relation,The Consistent,
Michael Dell,20.4,52,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Technology,male,"Dell computers, Self Made","Drop Out, The University of Texas at Austin",0,1,North America,2017,,1984,Founder,The Consistent,20
Len Blavatnik,20,59,United States,Y,N,Y,Y,Y,N,N,N,2007,11,0,0,0,Energy,male,"diversified, Self Made","Bachelor of Arts / Science, Moscow State University; Master of Science, Columbia University; Master of Business Administration, Harvard Business School",3,1,North America,2017,,,Founder,The Consistent,
Laurene Powell Jobs,20,53,United States,N,N,Y,N,Y,N,N,N,2012,6,0,0,0,Technology,female,"Apple, Disney","Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts / Science, University of Pennsylvania Wharton School",2,1,North America,2017,,,Relation,The Consistent,
