Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
United Kingdom,Y,N,N,Diversified,1972,Founder,22,The Consistent,Richard Branson
United States,N,Y,N,Service,NA,NA,NA,The Consistent,Tamara Gustavson
Belgium,Y,N,N,Investments,1956,Founder,31,The Consistent,Albert Frere
South Korea,N,Y,N,Automotive,1967,Relation,29,The Consistent,Chung Mong-Koo
Brazil,N,Y,N,Media,NA,NA,NA,The Ghost,Roberto Civita
Hong Kong,Y,Y,N,Finance,1992,NA,35,The Consistent,Pollyanna Chu
Israel,N,N,N,Service,NA,NA,NA,The Consistent,Shari Arison
United Arab Emirates,N,N,N,Diversified,NA,NA,NA,The Ghost,Mansour bin Zayed Al Nahayan
United States,N,Y,N,Energy,NA,NA,NA,The Consistent,Ray Lee Hunt
United Kingdom,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Philip & Cristina Green
China,Y,N,N,Diversified,1989,Chairman,36,The Consistent,Lu Zhiqiang
United States,N,Y,Y,Investments,1928,Relation,-36,The Consistent,Dirk Ziff
United States,N,Y,N,Investments,1928,Relation,-39,The Consistent,Robert Ziff
United States,N,Y,N,Investments,1927,Relation,-45,The Consistent,Daniel Ziff
Chile,Y,N,N,Retail,NA,NA,NA,The Consistent,Horst Paulmann
India,Y,N,N,Health care,1968,Founder,31,The Consistent,Desh Bandhu Gupta
Malaysia,Y,N,N,Manufacturing,NA,NA,NA,The Consistent,Lee Shin Cheng
Switzerland,N,Y,N,Construction and Engineering,1912,Relation,-34,The Consistent,Thomas Schmidheiny
United States,Y,Y,N,Finance,1981,NA,28,The Consistent,Stanley Druckenmiller
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent,Paul Tudor Jones
Ireland,Y,N,Y,Telecom,1997,Founder,39,The Consistent,Denis O'Brien
Russia,Y,N,N,Investments,NA,NA,NA,The Ghost,Boris Ivanishvili
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent,Alejandro Santo Domingo
United States,Y,N,N,Media,1972,Founder,46,The Consistent,Charles Dolan
United Kingdom,Y,N,N,Fashion and Retail,1960,NA,22,The Consistent,Laurence Graff
China,Y,N,N,Agriculture,1982,NA,31,The Consistent,Liu Yonghao
Russia,Y,N,N,Energy,NA,NA,NA,The Consistent,Pyotr Aven
Indonesia,Y,N,N,Diversified,1987,NA,25,The Consistent,Chairul Tanjung
Ukraine,Y,Y,N,Metals and Mining,2000,Founder,33,The Consistent,Rinat Akhmetov
Switzerland,N,N,N,Manufacturing,1936,NA,-40,The Consistent,Rahel Blocher
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent,Karl-Heinz Kipp
Canada,N,N,N,Energy,1924,NA,-6,The Consistent,Arthur Irving
United States,N,N,N,Real Estate,1977,Founder,56,The Ghost,James Sorenson
United States,N,N,N,Investments,1919,Relation,-7,The Ghost,Lester Crown
United States,Y,Y,N,Software,1962,Founder,31,The Ghost,Henry Ross Perot Sr
United States,Y,N,N,Manufacturing,1959,NA,22,The Consistent,Leandro Rizzuto
United Kingdom,Y,N,N,Media,1975,NA,29,The Consistent,Clive Calder
United States,Y,Y,N,Software,1976,Founder,29,The Consistent,John Sall
India,N,N,N,Retail,NA,NA,NA,The Consistent,Micky Jagtiani
Ireland,N,N,N,Real Estate,NA,NA,NA,The Ghost,Sean Quinn
United States,Y,Y,N,Energy,1994,NA,39,The Consistent,Kelcy Warren
Germany,Y,N,N,Technology,1982,NA,27,The Consistent,Andreas von Bechtolsheim
Georgia,Y,N,N,Investments,1990,NA,35,The Consistent,Bidzina Ivanishvili
India,Y,N,N,Retail,NA,NA,NA,The Consistent,M.A. Yusuff Ali
United States,Y,Y,N,Manufacturing,1979,Founder,23,The Consistent,Mitchell Rales
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Consistent,Alexander Abramov
Russia,Y,Y,N,Manufacturing,1929,NA,-31,The Consistent,Andrei Guriev
China,Y,N,N,Real Estate,1995,NA,32,The Consistent,Wu Yajun
United Kingdom,Y,Y,N,Finance,2000,Founder,33,The Consistent,Michael Platt
Switzerland,N,N,N,Manufacturing,1936,Relation And Ceo,-33,The Consistent,Magdalena Martullo-Blocher
Russia,Y,Y,N,Finance,1996,Founder/Chairman,25,The Consistent,Sergei Popov
Italy,N,N,Y,Metals and Mining,1945,Relation,NA,The Consistent,Paolo & Gianfelice Mario Rocca
Japan,Y,Y,N,Retail,NA,NA,NA,The Consistent,Kunio Busujima
United States,Y,N,N,Real Estate,1974,Founder,46,The Consistent,Sheldon Solow
Netherlands,Y,N,N,Service,1960,NA,27,The Consistent,Frits Goldschmeding
Portugal,N,N,N,Diversified,NA,NA,NA,The Consistent,Americo Amorim
Japan,N,N,N,Real Estate,1959,Relation,22,The Consistent,Akira Mori
Germany,N,N,N,Food and Beverage,1949,NA,5,The Consistent,Michael Herz
India,Y,N,N,Media,1976,NA,26,The Consistent,Subhash Chandra
Germany,N,N,N,Food and Beverage,1949,Relation,-2,The Consistent,Wolfgang Herz
United States,Y,Y,N,Health care,1981,NA,27,The Consistent,Reinhold Schmieding
United States,N,Y,N,Health care,1941,Relation,-14,The Consistent,Ronda Stryker
China,Y,N,N,Real Estate,1992,Chairman,37,The Consistent,Tong Jinquan
United States,N,Y,N,Service,NA,NA,NA,The Consistent,Karen Pritzker
Australia,N,Y,N,Manufacturing,1948,Relation,-12,The Consistent,Anthony Pratt
Germany,N,N,N,Food and Beverage,1903,NA,-64,The Consistent,Axel Oberwelland
Hong Kong,N,N,N,Telecom,1971,NA,4,The Consistent,Richard Li
China,Y,N,N,Real Estate,1998,Chairman,30,The Consistent,Wang Wenxue
Japan,N,N,N,Finance,NA,NA,NA,The Ghost,Hiroko Takei
United States,N,Y,N,Service,NA,NA,NA,The Consistent,Jeremy Jacobs
United States,Y,Y,N,Logistics,NA,NA,NA,The Consistent,Frederick Smith
Turkey,Y,Y,N,Technology,NA,NA,NA,The Hustler,Mehmet Emin Karamehmet
United States,N,Y,N,Fashion and Retail,NA,NA,NA,The Consistent,Nancy Walton Laurie
Germany,N,N,N,Manufacturing,1917,NA,-37,The Consistent,Martin Viessmann
United Kingdom,N,N,N,Real Estate,NA,NA,NA,The Ghost,Simon Halabi
United States,Y,Y,N,Energy,1989,Founder,31,The Consistent,Jeffery Hildebrand
China,Y,Y,N,Health care,1970,Chairman,11,The Consistent,Sun Piaoyang
Russia,Y,Y,N,Metals and Mining,1935,NA,-26,The Consistent,Andrei Kozitsyn
United States,N,N,N,Food and Beverage,1865,NA,-97,The Consistent,Gwendolyn Sontheim Meyer
United States,Y,Y,Y,Technology,1995,President,30,The Consistent,Jeffrey Skoll
South Korea,Y,Y,N,Software,1994,NA,27,The Consistent,Kim Jung-Ju
Mexico,Y,N,N,Retail,NA,NA,NA,The Consistent,Jeronimo Arango
Japan,Y,N,N,Manufacturing,1961,Founder,31,The Consistent,Keiichiro Takahara
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,Robert Holding
United States,N,Y,N,Media,NA,NA,NA,The Consistent,Martha Ingram
United States,N,Y,Y,Real Estate,1920,Relation,-18,The Consistent,Leonard Stern
France,N,N,N,Fashion and Retail,1976,Founder,37,The Consistent,Michel Leclercq
Germany,N,N,N,Food and Beverage,1896,Relation,-44,The Consistent,Theo Mueller
Switzerland,Y,N,Y,Manufacturing,1911,Relation,-35,The Consistent,Michael Pieper
United Kingdom,Y,N,N,Manufacturing,1993,NA,46,The Consistent,James Dyson
Canada,Y,Y,N,Technology,1998,NA,48,The Consistent,David Cheriton
Taiwan,N,N,N,Diversified,NA,NA,NA,The Consistent,Samuel Yin
Thailand,Y,N,N,Retail,NA,NA,NA,The Consistent,Vichai Srivaddhanaprabha
Hong Kong,N,Y,N,Gaming,1962,Relation,-1,The Consistent,Pansy Ho
China,Y,Y,N,Automotive,1995,Founder,29,The Consistent,Wang Chuanfu
United Arab Emirates,N,N,N,Automotive,NA,NA,NA,The Consistent,Abdulla Al Futtaim
United States,N,N,N,Manufacturing,1932,Relation,9,The Ghost,William Davidson
India,N,Y,N,Real Estate,1946,Relation And Chairman,14,The Consistent,Kushal Pal Singh
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Matthew Bucksbaum
United States,Y,Y,Y,Investments,1975,NA,41,The Consistent,Ira Rennert
United States,Y,Y,N,Energy,1983,NA,33,The Consistent,Terrence Pegula
Sweden,N,Y,N,Real Estate,NA,NA,NA,The Consistent,Fredrik Lundberg
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent,J. Christopher Reyes
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent,Jude Reyes
Hong Kong,N,N,N,Gaming,NA,NA,NA,The Consistent,Angela Leong
United States,Y,N,N,Gaming,1996,Founder,34,The Consistent,Gabe Newell
China,Y,Y,N,Manufacturing,NA,NA,NA,The Consistent,Zhang Jindong
China,Y,N,N,Manufacturing,2005,Relation,41,The Consistent,Ma Jianrong
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent,Stewart and Lynda Resnick
United States,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent,Bernard Marcus
United States,Y,Y,N,Technology,NA,NA,NA,The Consistent,"H. Ross Perot, Sr."
Canada,Y,Y,N,Finance,NA,NA,NA,The Ghost,Paul Desmarais
Australia,N,N,N,Real Estate,1939,NA,4,The Consistent,John Gandel
United States,Y,Y,N,Investments,1974,Investor,42,The Ghost,Harold Simmons
France,N,N,N,Health care,1897,Relation,-41,The Consistent,Alain Merieux
United States,N,Y,Y,Food and Beverage,NA,NA,NA,The Consistent,Robert Rich
Sweden,Y,N,N,Service,1965,Founder,24,The Consistent,Bertil Hult
Hong Kong,Y,N,N,Manufacturing,1994,NA,53,The Consistent,Patrick Lee
United States,Y,N,N,Media,1998,CEO,55,The Consistent,Isaac Perlmutter
United States,N,Y,Y,Energy,1919,Relation,-29,The Consistent,Robert Bass
United States,Y,Y,N,Retail,NA,NA,NA,The Consistent,John Morris
United States,Y,N,N,Fashion and Retail,1975,Founder,25,The Consistent,James Jannard
Russia,Y,Y,N,Construction and Engineering,1954,Chairman,-8,The Hustler,Mikhail Balakin
United States,Y,Y,N,Software,1999,NA,35,The Consistent,Marc Benioff
France,N,N,N,Food and Beverage,1933,NA,-35,The Consistent,Jean-Michel Besnier
France,N,N,N,Food and Beverage,1933,NA,-48,The Consistent,Marie Besnier Beauvalot
Taiwan,Y,N,N,Automotive,1967,NA,42,The Consistent,Luo Jye
Brazil,N,N,N,Diversified,NA,NA,NA,The Consistent,Maria Helena Moraes Scripilliti
Swaziland,Y,Y,N,Retail,NA,NA,NA,The Consistent,Nathan Kirsh
Thailand,Y,N,N,Finance,NA,NA,NA,The Consistent,Vanich Chaiyawan
Brazil,N,Y,N,Manufacturing,1918,Relation,-11,The Hustler,Antonio Ermirio de Moraes
Japan,N,N,N,Gaming,1889,Relation,-39,The Ghost,Hiroshi Yamauchi
Brazil,N,Y,N,Diversified,NA,NA,NA,The Consistent,Ermirio Pereira de Moraes
Germany,N,N,N,Media,1946,Relation,3,The Consistent,Friede Springer
United States,Y,N,N,Manufacturing,1982,NA,36,The Consistent,Diane Hendricks
United States,N,N,N,Food and Beverage,NA,NA,NA,The Consistent,James Cargill
United States,N,Y,N,Food and Beverage,1869,Relation,-81,The Consistent,Mary Alice Dorrance Malone
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent,"Austen Cargill, II."
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent,Marianne Liebmann
Egypt,N,Y,N,Telecom,1950,Relation,-5,The Consistent,Naguib Sawiris
United States,N,Y,N,Diversified,1946,Relation,18,The Consistent,Joan Tisch
United States,N,Y,N,Manufacturing,1886,Relation,-45,The Consistent,Imogene Powers Johnson
United States,Y,Y,N,Energy,NA,NA,NA,The Consistent,Walter Scott
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent,Julian Robertson
Brazil,Y,N,N,Retail,1927,NA,-8,The Consistent,Francisco Ivens de Sa Dias Branco
Germany,Y,N,N,Manufacturing,1973,Founder,35,The Consistent,Siegfried Meister
Italy,N,Y,N,Retail,NA,NA,NA,The Consistent,Giuseppe De'Longhi
United States,Y,Y,N,Food and Beverage,1946,Former Ceo,5,The Consistent,Clayton Mathile
Denmark,N,N,N,Health care,1957,NA,9,The Consistent,Niels Peter Louis-Hansen
Brazil,N,N,N,Media,NA,NA,NA,The Consistent,Roberto Irineu Marinho
Japan,N,Y,N,Real Estate,NA,NA,NA,The Ghost,Eitaro Itoyama
Taiwan,Y,Y,N,Technology,1988,Founder,39,The Consistent,Barry Lam
Germany,Y,N,N,Retail,NA,NA,NA,The Ghost,Anton Schlecker
Saudi Arabia,Y,Y,N,Food and Beverage,1997,NA,44,The Consistent,Prince Sultan bin Mohammed bin Saud Al Kabeer
United States,N,Y,Y,Manufacturing,1886,Relation,-70,The Consistent,S. Curtis Johnson
Brazil,N,N,N,Media,1925,NA,-31,The Consistent,Jose Roberto Marinho
United States,N,Y,N,Manufacturing,1886,Relation,-71,The Consistent,Helen Johnson-Leipold
China,Y,Y,N,Manufacturing,1989,Founder,33,The Consistent,Liang Wengen
United States,N,Y,Y,Manufacturing,1886,Relation,-73,The Consistent,H. Fisk Johnson
United States,N,Y,N,Manufacturing,1886,Relation,-73,The Consistent,Winnie Johnson-Marquart
United States,Y,Y,N,Sports,1983,Founder,23,The Consistent,Stephen Bisciotti
Germany,Y,N,N,Technology,1988,NA,25,The Consistent,Ralph Dommermuth
India,Y,N,Y,Media,NA,NA,NA,The Consistent,Kalanithi Maran
China,Y,N,N,Technology,2000,NA,28,The Consistent,Jia Yueting
France,N,N,N,Construction and Engineering,NA,NA,NA,The Consistent,Martin & Olivier Bouygues
United States,Y,N,N,Manufacturing,1949,Founder,20,The Consistent,Archie Aldis Emmerson
United States,N,Y,Y,Investments,NA,NA,NA,The Consistent,Clemmie Spangler
Philippines,Y,Y,N,Diversified,1982,NA,48,The Consistent,Lucio Tan
United States,Y,Y,Y,Real Estate,1978,NA,38,The Consistent,Jerry Speyer
United States,Y,Y,N,Real Estate,1973,NA,31,The Consistent,Igor Olenicoff
United States,Y,Y,N,Service,1973,Founder,28,The Consistent,Steven Udvar-Hazy
United States,Y,Y,N,Media,1994,Founder,48,The Consistent,Steven Spielberg
United States,Y,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent,Roger Wang
Israel,Y,N,N,Real Estate,1992,NA,44,The Consistent,Yitzhak Tshuva
Germany,N,N,N,Automotive,1919,NA,-29,The Consistent,Michael Stoschek
United States,Y,Y,N,Finance,1979,Founder,29,The Consistent,Ken Fisher
Germany,N,N,N,Retail,1923,Relation,-29,The Consistent,Renate Reimann-Haas
Germany,N,N,N,Retail,1923,Relation,-30,The Consistent,Wolfgang Reimann
Brazil,N,N,N,Media,1925,Relation,-29,The Consistent,Joao Roberto Marinho
India,N,Y,Y,Health care,1984,Founder,29,The Consistent,Ajay Piramal
Australia,Y,Y,N,Automotive,1986,NA,30,The Consistent,Vivek Chaand Sehgal
Turkey,N,Y,N,Food and Beverage,1944,NA,-15,The Consistent,Murat Ulker
Venezuela,Y,N,N,Finance,1986,NA,27,The Consistent,Juan Carlos Escotet
Germany,N,N,N,Retail,1923,Relation,-41,The Consistent,Stefan Reimann-Andersen
Germany,N,N,N,Retail,1923,Relation,-42,The Consistent,Matthias Reimann-Andersen
Russia,Y,Y,N,Investments,NA,NA,NA,The Ghost,Alexander Lebedev
Spain,N,N,N,Real Estate,NA,NA,NA,The Ghost,Luis Portillo
Japan,Y,N,N,Retail,NA,NA,NA,The Consistent,Masatoshi Ito
United States,N,Y,N,Finance,NA,NA,NA,The Consistent,Bernard Saul
United States,Y,Y,N,Health care,1972,NA,36,The Consistent,Phillip Frost
United Kingdom,N,N,N,Real Estate,1712,Relation,-226,The Hustler,Charles Cadogan
Japan,Y,N,N,Manufacturing,1973,Founder,29,The Consistent,Shigenobu Nagamori
United States,Y,Y,Y,Investments,1935,Leadership,-12,The Consistent,Michael Milken
China,Y,N,N,Real Estate,1991,NA,40,The Consistent,Huang Rulun
United States,N,Y,N,Retail,NA,NA,NA,The Consistent,Jimmy Haslam
United States,Y,Y,N,Technology,1991,Founder,37,The Consistent,Henry Samueli
Japan,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent,Masahiro Miki
Mexico,N,Y,Y,Retail,NA,NA,NA,The Consistent,Ricardo Salinas Pliego
United States,Y,Y,N,Real Estate,1994,Founder,35,The Consistent,Jeff Sutton
United States,N,N,N,Automotive,NA,NA,NA,The Consistent,Dan Friedkin
United Kingdom,Y,N,N,Gaming,2000,NA,33,The Consistent,Denise Coates
Russia,Y,Y,N,Automotive,1964,NA,-5,The Consistent,Dmitry Kamenshchik
Philippines,N,N,N,Finance,1962,NA,29,The Consistent,George Ty
United States,Y,Y,N,Real Estate,1961,Founder,26,The Consistent,Donald Sterling
United States,Y,Y,N,Sports,1983,Founder,47,The Consistent,Robert McNair
India,N,N,Y,Automotive,1926,Relation,-13,The Consistent,Rahul Bajaj
Germany,N,N,N,Food and Beverage,NA,NA,NA,The Consistent,Guenter Herz
United States,N,Y,N,Technology,1965,Relation,23,The Consistent,Dagmar Dolby
United States,Y,N,N,Food and Beverage,1965,NA,24,The Consistent,Harry Stine
United States,N,N,N,Investments,NA,NA,NA,The Consistent,Peter Kellogg
United States,N,Y,N,Real Estate,1920,NA,-27,The Consistent,Donald Trump
Denmark,Y,N,N,Retail,NA,NA,NA,The Consistent,Lars Larsen
Russia,Y,Y,N,Telecom,1993,Founder/Chairman,45,The Consistent,Vladimir Yevtushenkov
Germany,N,N,N,Food and Beverage,1949,NA,-5,The Consistent,Daniela Herz
India,Y,N,N,Construction and Engineering,1979,Chairman,25,The Consistent,Ravi Pillai
China,Y,N,N,Food and Beverage,1720,NA,-236,The Consistent,Pang Kang
Finland,N,N,N,Manufacturing,1910,Relation,-47,The Consistent,Antti Herlin
Colombia,N,N,Y,Finance,NA,NA,NA,The Consistent,Jaime Gilinski Bacal
Germany,N,N,N,Real Estate,NA,NA,NA,The Consistent,Alexandra Schoerghuber
Russia,Y,Y,Y,Investments,1999,Founder,38,The Consistent,Yuri Milner
Mexico,N,N,Y,Food and Beverage,NA,NA,NA,The Ghost,Daniel Servitje Montull
Chile,N,N,N,Retail,NA,NA,NA,The Ghost,Juan Cuneo Solari
Chile,N,N,N,Retail,NA,NA,NA,The Ghost,Teresa Matilde Solari Falabella
Japan,Y,N,N,Gaming,NA,NA,NA,The Consistent,Chang-Woo Han
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent,Heinz-Georg Baus
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Ghost,Melvin Simon
United States,N,Y,N,Investments,1929,CEO/Chairman,-7,The Consistent,George Lindemann
United States,Y,Y,N,Health care,1963,Founder,30,The Hustler,Gayle Cook
France,N,N,N,Investments,1851,Relation,-82,The Ghost,Gerard Louis-Dreyfus
Spain,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost,Rosalia Mera
Philippines,Y,N,N,Retail,NA,NA,NA,The Consistent,Tony Tan Caktiong
United States,Y,Y,N,Health care,1984,NA,31,The Consistent,Randal Kirk
United States,Y,Y,Y,Real Estate,NA,Founder,NA,The Consistent,Jeff Greene
Czech Republic,Y,N,N,Food and Beverage,1993,NA,39,The Consistent,Andrej Babis
China,Y,N,N,Manufacturing,1995,NA,39,The Consistent,Li Shuirong
United States,Y,Y,N,Media,1995,NA,37,The Consistent,Mark Cuban
Philippines,N,N,N,Logistics,NA,NA,NA,The Consistent,Enrique Razon
United States,N,Y,Y,Service,NA,NA,NA,The Consistent,Anthony Pritzker
China,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler,Yu Yong
China,Y,N,N,Diversified,1989,Founder,27,The Consistent,Sun Guangxin
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost,Anand Jain
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent,Jay Robert (J.B.) Pritzker
Russia,Y,Y,N,Construction and Engineering,1999,NA,34,The Consistent,Samvel Karapetyan
United States,Y,Y,N,Software,1994,Founder,28,The Consistent,David Filo
China,Y,N,N,Retail,NA,NA,NA,The Hustler,Che Jianxing
Brazil,N,Y,N,Retail,NA,NA,NA,The Consistent,Abilio dos Santos Diniz
Sweden,Y,N,Y,Investments,1984,NA,47,The Consistent,Gustaf Douglas
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost,Donna MacMillan
United States,Y,Y,N,Sports,NA,NA,NA,The Consistent,Arthur Blank
Germany,Y,N,Y,Health care,1984,NA,41,The Consistent,Bernard Broermann
United States,Y,N,N,Energy,NA,NA,NA,The Consistent,John Catsimatidis
Canada,Y,N,N,Retail,NA,NA,NA,The Consistent,Alain Bouchard
Hong Kong,Y,N,N,Real Estate,1977,NA,26,The Consistent,Edwin Leong
China,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Qiu Guanghe
Israel,Y,N,N,Technology,1961,Founder,6,The Consistent,Shaul Shani
Brazil,Y,N,N,Food and Beverage,1994,Founder,39,The Consistent,Walter Faria
China,Y,Y,N,Technology,2000,Chairman,44,The Consistent,Lin Xiucheng
China,Y,Y,N,Diversified,2005,Founder,43,The Consistent,Shi Yuzhu
China,Y,Y,N,Energy,1992,Founder,29,The Consistent,Wang Yusuo
United States,Y,Y,N,Finance,1995,Founder,31,The Consistent,Tom Gores
Norway,N,N,N,Retail,NA,NA,NA,The Consistent,Johan Johannson
Russia,Y,Y,N,Finance,NA,NA,NA,The Hustler,Alexander Svetakov
India,N,Y,N,Diversified,NA,NA,NA,The Hustler,Sudhir & Samir Mehta
Switzerland,N,N,N,Retail,1986,Founder,58,The Ghost,Nicolas Hayek
United States,Y,Y,Y,Media,NA,NA,NA,The Consistent,Amos Hostetter
United States,Y,Y,N,Real Estate,1969,NA,32,The Consistent,Neil Bluhm
Australia,Y,N,N,Logistics,1956,Founder,19,The Consistent,Lindsay Fox
United States,Y,Y,N,Health care,1963,Founder,32,The Ghost,William Cook
United States,Y,Y,N,Retail,NA,NA,NA,The Hustler,Leslie Wexner
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Richard Schulze
United States,N,Y,N,Fashion and Retail,1946,Relation,2,The Consistent,Ronald Lauder
Hong Kong,Y,Y,N,Health care,1998,Chairman,54,The Consistent,Ye Chenghai
Brazil,Y,N,N,Health care,1977,NA,33,The Consistent,Jorge Moll Filho
United States,N,Y,N,Food and Beverage,1869,NA,-77,The Consistent,Bennett Dorrance
Italy,Y,N,Y,Fashion and Retail,1913,NA,-33,The Consistent,Patrizio Bertelli
Brazil,N,Y,N,Diversified,1924,Relation,-23,The Consistent,Fernando Roberto Moreira Salles
Italy,N,N,N,Fashion and Retail,1913,Relation,-37,The Consistent,Miuccia Prada
United States,N,Y,Y,Real Estate,1957,Relation,6,The Consistent,Thomas Pritzker
India,Y,N,N,Metals and Mining,1976,Founder,22,The Consistent,Anil Agarwal
United States,Y,Y,Y,Investments,1972,Partner,17,The Consistent,Michael Moritz
Brazil,N,Y,N,Finance,1926,Relation,-30,The Consistent,Walther Moreira Salles Junior
Brazil,N,Y,N,Diversified,1924,Relation,-36,The Consistent,Pedro Moreira Salles
United States,Y,Y,N,Finance,1994,Founder,33,The Consistent,Daniel Och
South Korea,N,Y,N,Diversified,2009,Chairman,48,The Consistent,Chey Tae-Won
Brazil,N,N,N,Diversified,1924,Relation,-38,The Consistent,Joao Moreira Salles
China,Y,Y,N,Real Estate,1995,NA,30,The Consistent,Zhang Xin
China,Y,Y,Y,Technology,2001,Founder,35,The Consistent,Jiang Bin
Chile,N,N,N,Retail,NA,NA,NA,The Ghost,Piero Solari Donaggio
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent,Andrew & Peggy Cherng
Philippines,Y,N,N,Construction and Engineering,1954,NA,33,The Consistent,David Consunji
United States,N,Y,Y,Construction and Engineering,1898,Relation,-28,The Consistent,Stephen Bechtel
Switzerland,Y,N,N,Service,1928,Relation,0,The Consistent,Sergio Mantegazza
Hong Kong,N,N,N,Energy,NA,NA,NA,The Hustler,Ronald McAulay
Thailand,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost,Chaleo Yoovidhya
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost,Edgar Bronfman Sr
Saudi Arabia,N,N,N,Investments,1953,Relation,24,The Ghost,Khalid Bin Mahfouz
United States,N,N,N,Energy,NA,NA,NA,The Consistent,Lynn Schusterman
France,Y,N,N,Finance,1991,Founder/Ceo,51,The Consistent,Marc Ladreit de Lacharriere
United Kingdom,Y,N,N,Real Estate,1979,Founder,41,The Hustler,Nadhmi Auchi
United States,Y,N,N,Fashion and Retail,1980,Founder,36,The Consistent,John Paul DeJoria
Algeria,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent,Issad Rebrab
Chile,Y,N,N,Manufacturing,NA,NA,NA,The Consistent,Julio Ponce Lerou
Germany,Y,N,N,Health care,1986,NA,37,The Consistent,Andreas Struengmann
Brazil,N,Y,N,Construction and Engineering,1939,Relation,-11,The Consistent,Rossana Camargo de Arruda Botelho
Germany,Y,N,Y,Health care,1986,Founder,37,The Consistent,Thomas Struengmann
Brazil,N,Y,N,Construction and Engineering,1939,NA,-12,The Consistent,Renata de Camargo Nascimento
United States,N,Y,Y,Construction and Engineering,1898,Relation And Chairman,-54,The Consistent,Riley Bechtel
Brazil,N,N,N,Construction and Engineering,1939,NA,-15,The Consistent,Regina de Camargo Pires Oliveira Dias
Israel,N,N,N,Diversified,NA,NA,NA,The Consistent,Idan Ofer
China,Y,N,N,Food and Beverage,1951,NA,-6,The Consistent,Yang Kai
Norway,Y,Y,Y,Finance,1999,Founder/Ceo,38,The Consistent,Andreas Halvorsen
China,Y,N,N,Manufacturing,1993,Founder/Chairman,30,The Consistent,Liu Zhongtian
United States,Y,Y,N,Software,2002,NA,35,The Consistent,Reid Hoffman
Israel,Y,N,N,Gaming,NA,NA,NA,The Consistent,Teddy Sagi
Russia,Y,N,N,Real Estate,NA,NA,NA,The Consistent,God Nisanov
Angola,N,Y,N,Investments,1997,Founder,24,The Consistent,Isabel dos Santos
Japan,Y,N,N,Technology,2004,NA,29,The Consistent,Yusaku Maezawa
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent,Erwin Franz Mueller
Taiwan,Y,N,N,Finance,1961,Founder,32,The Hustler,Tsai Wan-tsai
United States,N,N,N,Investments,1919,CEO/Chairman,-7,The Ghost,Maurice Greenberg
United States,Y,Y,Y,Investments,1979,Founder,44,The Hustler,Kenneth Langone
United States,N,N,N,Food and Beverage,1950,NA,12,The Consistent,James Leprino
India,N,N,N,Media,1838,Relation,-99,The Consistent,Indu Jain
Mexico,Y,N,N,Manufacturing,1998,Honorary President For Life,59,The Consistent,Antonio Del Valle Ruiz
Hong Kong,N,Y,Y,Real Estate,1958,Relation,19,The Consistent,Samuel Tak Lee
United States,Y,Y,N,Media,1964,Founder,27,The Hustler,Patrick McGovern
United States,Y,Y,N,Service,1971,NA,30,The Consistent,Tom Golisano
India,Y,N,N,Construction and Engineering,1975,NA,34,The Consistent,B.R. Shetty
Canada,Y,Y,N,Health care,1959,Relation,17,The Consistent,Bernard (Barry) Sherman
United States,Y,Y,Y,Finance,1991,Founder,48,The Consistent,Leon G. Cooperman
Japan,Y,N,N,Retail,NA,NA,NA,The Consistent,Akio Nitori
United States,Y,N,N,Media,1988,Founder,44,The Consistent,Haim Saban
Turkey,Y,Y,Y,Finance,NA,NA,NA,The Consistent,Husnu Ozyegin
United States,N,Y,N,Energy,1919,Relation,-27,The Consistent,Edward Bass
United States,Y,Y,N,Software,2002,NA,55,The Consistent,Romesh T. Wadhwani
