Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
Russia,Y,Y,N,Metals and Mining,1991,Founder,31,The Consistent,Vladimir Potanin
China,Y,N,N,Metals and Mining,1994,Founder,26,The Consistent,Wang Wenyin
Italy,N,Y,N,Health care,1901,Shareholder/CEO,-41,The Consistent,Stefano Pessina
United States,Y,Y,N,Automotive,2003,Investor/Founder,31,The Consistent,Elon Musk
United States,Y,N,N,Finance,1994,Founder,49,The Consistent,Thomas Peterffy
Mexico,N,N,N,Metals and Mining,1978,Founder,25,The Consistent,German Larrea Mota Velasco
Chile,N,N,N,Metals and Mining,1888,Relation,-55,The Consistent,Iris Fontbona
India,Y,Y,N,Health care,1983,NA,28,The Consistent,Dilip Shanghvi
Austria,Y,N,Y,Food and Beverage,1984,NA,40,The Consistent,Dietrich Mateschitz
United States,Y,N,N,Energy,1967,Founder,22,The Consistent,Harold Hamm
China,Y,Y,N,Software,2000,Founder,32,The Consistent,Robin Li
Russia,Y,N,N,Energy,2001,Founder,29,The Consistent,Andrey Melnichenko
United States,Y,Y,N,Media,1923,Relation,-8,The Consistent,Rupert Murdoch
Germany,Y,N,N,Construction and Engineering,1905,Chairman/Shareholder,-36,The Consistent,Heinz Hermann Thiele
United States,Y,Y,N,Finance,1992,Founder,36,The Consistent,Steve Cohen
France,Y,N,N,Telecom,1994,Founder,31,The Consistent,Patrick Drahi
Philippines,Y,Y,N,Diversified,1960,Founder,36,The Consistent,Henry Sy
United States,N,Y,N,Media,1898,NA,-22,The Hustler,Anne Cox Chambers
United States,N,N,N,Media,1898,Relation,-26,The Ghost,Barbara Cox Anthony
Netherlands,N,Y,N,Food and Beverage,1864,Relation,-91,The Consistent,Charlene de Carvalho-Heineken
Sweden,N,N,N,Media,1951,Relation,25,The Consistent,Hans Rausing
United States,N,Y,N,Investments,NA,Investor,NA,The Consistent,Philip Anschutz
United States,Y,Y,Y,Finance,1980,Founder,38,The Consistent,Ronald Perelman
Brazil,Y,Y,N,Food and Beverage,1999,Founder,52,The Consistent,Carlos Alberto Sicupira
Germany,N,N,N,Logistics,1890,NA,-48,The Consistent,Klaus-Michael Kuehne
Russia,Y,Y,N,Energy,1990,Founder,32,The Consistent,Viktor Vekselberg
China,Y,N,N,Manufacturing,1968,NA,26,The Consistent,He Xiangjian
India,Y,Y,N,Software,1976,Founder,31,The Consistent,Shiv Nadar
Japan,Y,N,N,Manufacturing,1974,Founder,29,The Consistent,Takemitsu Takizaki
United States,N,Y,N,Media,1898,Relation,-50,The Consistent,Jim Kennedy
United States,N,Y,N,Media,1898,Relation,-53,The Consistent,Blair Parry-Okeden
Nigeria,Y,Y,N,Manufacturing,1981,Founder,24,The Consistent,Aliko Dangote
Czech Republic,Y,Y,N,Finance,1991,Founder,26,The Consistent,Petr Kellner
United States,N,N,N,Media,1909,Relation,-19,The Consistent,Samuel Newhouse
Hong Kong,Y,N,N,Gaming,1988,Founder/Chairman,59,The Consistent,Lui Che Woo
United States,N,N,N,Media,1909,Relation,-21,The Consistent,Donald Newhouse
United States,Y,Y,Y,Investments,1985,NA,39,The Consistent,Stephen Schwarzman
France,N,N,N,Fashion and Retail,1909,Relation,-40,The Consistent,Alain Wertheimer
France,N,N,N,Fashion and Retail,1909,NA,-42,The Consistent,Gerard Wertheimer
Kuwait,N,N,N,Construction and Engineering,1956,Relation,12,The Ghost,Nasser Al-Kharafi
Malaysia,Y,Y,N,Diversified,1971,NA,48,The Consistent,Robert Kuok
France,N,N,N,Food and Beverage,1933,NA,-38,The Consistent,Emmanuel Besnier
Germany,Y,N,N,Software,1972,Founder,29,The Consistent,Hasso Plattner
United States,Y,Y,N,Technology,1998,NA,43,The Consistent,Eric Schmidt
Sweden,N,N,N,Manufacturing,1943,Relation,19,The Ghost,Birgit Rausing
Colombia,Y,Y,N,Finance,1994,President,61,The Consistent,Luis Carlos Sarmiento
United Kingdom,N,N,N,Real Estate,1677,Relation,-275,The Consistent,Gerald Cavendish Grosvenor
United States,Y,Y,Y,Finance,1993,Founder,36,The Consistent,David Tepper
Mexico,N,N,N,Metals and Mining,1960,Relation,28,The Consistent,Alberto Bailleres Gonzalez
United States,Y,N,N,Software,2004,Founder,20,The Consistent,Dustin Moskovitz
United Arab Emirates,N,N,N,Real Estate,1992,Founder,NA,The Consistent,Majid Al Futtaim
Hong Kong,N,N,Y,Real Estate,1955,NA,8,The Consistent,Peter Woo
United States,Y,N,N,Finance,1988,Founder,35,The Consistent,Andrew Beal
United States,Y,Y,N,Fashion and Retail,1960,Founder,20,The Consistent,John Menard
China,Y,Y,N,Real Estate,1997,NA,39,The Consistent,Hui Ka Yan
Germany,Y,N,N,Manufacturing,1945,Relation,9,The Consistent,Reinhold Wuerth
Cyprus,Y,N,N,Logistics,1985,NA,41,The Consistent,John Fredriksen
Thailand,N,N,N,Diversified,1921,NA,-19,The Consistent,Dhanin Chearavanont
Canada,N,Y,N,Retail,1882,Chairman,-59,The Consistent,Galen Weston
New Zealand,Y,N,N,Investments,1987,NA,32,The Consistent,Graeme Hart
India,N,Y,Y,Diversified,1857,Relation,-111,The Consistent,Kumar Birla
United States,Y,Y,N,Software,1976,NA,34,The Consistent,James Goodnight
Russia,Y,Y,N,Energy,1989,President,27,The Consistent,German Khan
Russia,Y,Y,N,Diversified,1988,Founder,22,The Consistent,Roman Abramovich
Germany,Y,N,N,Software,1972,Founder,32,The Hustler,Dietmar Hopp
Indonesia,N,N,N,Finance,1951,Relation,10,The Consistent,R. Budi Hartono
United Kingdom,Y,N,N,Manufacturing,1998,Founder,46,The Hustler,James Ratcliffe
United States,Y,N,N,Software,2009,NA,34,The Consistent,Jan Koum
China,N,Y,N,Real Estate,1997,NA,15,The Consistent,Yang Huiyan
United States,N,Y,N,Fashion and Retail,1946,Relation,9,The Consistent,Leonard Lauder
Indonesia,N,N,N,Manufacturing,1951,Relation,11,The Consistent,Michael Hartono
Israel,N,N,N,Diversified,1960,Relation,9,The Consistent,Eyal Ofer
Russia,Y,Y,N,Investments,1993,NA,28,The Consistent,Mikhail Prokhorov
United States,Y,Y,N,Health care,1968,Founder/Relation,30,The Consistent,Thomas Frist
Singapore,N,N,N,Real Estate,1970,NA,NA,The Consistent,Robert & Philip Ng
United States,Y,Y,N,Health care,1997,NA,45,The Consistent,Patrick Soon-Shiong
Switzerland,N,Y,Y,Health care,1906,Relation,-60,The Consistent,Ernesto Bertarelli
Australia,Y,Y,N,Real Estate,1968,Founder,36,The Consistent,Harry Triguboff
Russia,Y,Y,N,Finance,1993,NA,33,The Hustler,Nikolai Tsvetkov
China,Y,Y,N,Software,1998,Founder,27,The Consistent,Zhang Zhidong
United States,Y,Y,Y,Finance,1971,Founder,34,The Consistent,Charles Schwab
Russia,Y,Y,N,Manufacturing,1925,General Director,-24,The Consistent,Viktor Rashnikov
United States,Y,Y,N,Automotive,1956,Founder,5,The Consistent,Shahid Khan
India,N,Y,N,Health care,1966,NA,24,The Consistent,Cyrus Poonawalla
Saudi Arabia,Y,N,N,Energy,NA,NA,NA,The Consistent,Mohammed Al Amoudi
United States,N,N,N,Service,1972,Chairman,22,The Consistent,Micky Arison
France,Y,N,N,Software,1990,Founder,22,The Consistent,Xavier Niel
France,Y,N,N,Food and Beverage,1949,NA,23,The Hustler,Pierre Castel
United States,N,Y,N,Manufacturing,1873,Relation,-66,The Consistent,Herbert Kohler
United States,N,N,N,Diversified,1940,Relation,-3,The Hustler,Elaine Marshall
India,Y,Y,Y,Finance,1985,Founder,27,The Consistent,Uday Kotak
United States,Y,Y,N,Software,1995,NA,28,The Consistent,Pierre Omidyar
United States,Y,Y,N,Finance,1990,NA,22,The Consistent,Ken Griffin
United States,N,Y,Y,Energy,1940,NA,-3,The Consistent,George Kaiser
United States,Y,Y,Y,Finance,1994,Founder,39,The Consistent,John Paulson
Brazil,Y,Y,N,Software,2004,NA,23,The Consistent,Eduardo Saverin
United States,N,Y,N,Finance,1946,Relation,15,The Consistent,Edward Johnson
United States,Y,Y,N,Investments,1957,Founder,23,The Consistent,Eli Broad
United States,Y,Y,N,Media,1968,NA,28,The Consistent,John Malone
Germany,N,N,N,Retail,1949,Chairman,6,The Consistent,Michael Otto
Spain,Y,N,N,Real Estate,1982,Founder,17,The Hustler,Enrique Banuelos
China,Y,Y,N,Software,2004,Founder,30,The Consistent,Liu Qiangdong
Canada,N,N,N,Diversified,1882,NA,-46,The Consistent,James Irving
Germany,Y,Y,N,Energy,1984,Founder,33,The Consistent,Aloys Wobben
Switzerland,N,N,N,Logistics,1970,Founder,30,The Hustler,Gianluigi & Rafaela Aponte
United States,Y,Y,Y,Sports,1999,Founder,51,The Consistent,Stanley Kroenke
Taiwan,Y,N,N,Technology,1974,Founder,24,The Consistent,Terry Gou
India,Y,Y,N,Telecom,1980,Founder,23,The Consistent,Sunil Mittal
Saudi Arabia,Y,N,N,Investments,1980,Founder,25,The Ghost,Maan Al-Sanea
Saudi Arabia,Y,N,N,Finance,1957,NA,37,The Hustler,Sulaiman Al Rajhi
Germany,N,N,N,Investments,NA,Relation,NA,The Consistent,August von Finck
United States,Y,Y,N,Real Estate,1972,Founder,32,The Consistent,Stephen Ross
United States,Y,Y,N,Technology,1968,Founder,40,The Consistent,Gordon Moore
United States,Y,N,N,Media,1970,Founder,28,The Consistent,David Geffen
Hong Kong,N,N,N,Real Estate,1963,Relation,12,The Consistent,Walter Kwok
Russia,Y,N,N,Manufacturing,1930,NA,-37,The Consistent,Dmitry Rybolovlev
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Hank & Doug Meijer
United States,Y,Y,N,Energy,1996,NA,52,The Consistent,Richard Kinder
China,Y,N,N,Food and Beverage,1987,Founder,42,The Consistent,Zong Qinghou
Austria,Y,N,N,Gaming,1980,Founder,33,The Consistent,Johann Graf
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent,Alexei Kuzmichev
Hong Kong,Y,N,N,Real Estate,1962,Founder,41,The Ghost,Stanley Ho
Italy,Y,N,N,Diversified,1978,Founder,42,The Consistent,Silvio Berlusconi
South Africa,N,Y,N,Metals and Mining,1888,NA,-58,The Consistent,Nicky Oppenheimer
Russia,Y,N,N,Metals and Mining,1999,Partner,33,The Consistent,Andrei Skoch
United Arab Emirates,N,N,N,Diversified,1960,NA,NA,The Consistent,Abdulla bin Ahmad Al Ghurair
United States,N,N,N,Food and Beverage,1865,Relation,-69,The Consistent,Pauline MacMillan Keinath
Malaysia,N,N,N,Diversified,1968,Founder,26,The Consistent,Quek Leng Chan
Sweden,Y,N,Y,Investments,1987,Founder,40,The Consistent,Melker Schorling
Sweden,N,N,N,Medicine,1950,NA,-1,The Consistent,Frederik Paulsen
Russia,Y,Y,N,Fashion and Retail,1994,Founder,26,The Consistent,Sergei Galitsky
China,Y,Y,N,Technology,2010,Founder,41,The Consistent,Lei Jun
United States,Y,Y,Y,Software,1987,Founder,47,The Consistent,David Duffield
Hong Kong,N,N,N,Diversified,1890,Relation,-52,The Consistent,Michael Kadoorie
China,Y,N,N,Metals and Mining,1994,Founder,48,The Consistent,Zhang Shiping
South Korea,N,Y,Y,Fashion and Retail,1945,Relation,-18,The Hustler,Suh Kyung-Bae
China,Y,N,N,Automotive,1986,Founder,23,The Consistent,Li Shufu
Spain,N,N,N,Fashion and Retail,1975,Relation,6,The Consistent,Sandra Ortega Mera
Italy,Y,N,N,Fashion and Retail,1975,Founder,41,The Consistent,Giorgio Armani
China,Y,N,N,Agriculture,1982,Founder,34,The Consistent,Liu Yongxing
Brazil,Y,N,N,Metals and Mining,1984,Founder,27,The Ghost,Eike Batista
Singapore,Y,N,N,Manufacturing,1962,NA,35,The Consistent,Goh Cheng Liang
United States,Y,Y,N,Automotive,1960,Founder,30,The Consistent,Bruce Halle
Malaysia,Y,Y,Y,Telecom,1984,Founder,47,The Consistent,Ananda Krishnan
United States,N,Y,N,Real Estate,1883,Relation,-63,The Consistent,Richard LeFrak
Russia,Y,Y,N,Metals and Mining,1999,Founder,35,The Consistent,Iskander Makhmudov
United States,Y,Y,N,Real Estate,1979,NA,40,The Consistent,John A. Sobrato
India,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Ramesh Chandra
France,N,N,N,Energy,1975,Relation,24,The Consistent,Carrie Perrodo
Russia,Y,N,N,Energy,1990,Vice President,34,The Consistent,Leonid Fedun
Russia,Y,Y,N,Energy,NA,NA,NA,The Consistent,Mikhail Gutseriev
Russia,Y,Y,N,Investments,1989,NA,24,The Consistent,Suleiman Kerimov
China,Y,Y,Y,Diversified,1992,Founder,26,The Ghost,Guo Guangchang
Denmark,N,N,N,Retail,NA,NA,NA,The Consistent,Anders Holch Povlsen
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,David Green
United States,N,Y,N,Energy,1980,Relation,26,The Consistent,Robert Rowling
Taiwan,N,N,N,Food and Beverage,1962,Relation,5,The Consistent,Tsai Eng-Meng
Singapore,N,N,N,Real Estate,1962,Founder,34,The Ghost,Ng Teng Fong
South Africa,N,N,N,Fashion and Retail,1940,Relation,-11,The Consistent,Johann Rupert
Sweden,N,N,N,Food and Beverage,1951,Relation,-9,The Consistent,Jorn Rausing
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Kirill Pisarev
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Yuri Zhukov
United States,Y,N,N,Logistics,1964,Founder,30,The Consistent,Dennis Washington
United States,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Ann Walton Kroenke
Sweden,N,N,N,Food and Beverage,1951,Relation,-2,The Consistent,Kirsten Rausing
Sweden,N,N,N,Food and Beverage,1951,NA,-4,The Consistent,Finn Rausing
Venezuela,N,Y,Y,Retail,1941,Relation,-25,The Consistent,Lorenzo Mendoza
South Korea,N,Y,Y,Technology,1938,NA,-31,The Consistent,Jay Y. Lee
China,Y,N,N,Manufacturing,1993,Founder,24,The Consistent,Pan Zhengmin
Germany,N,Y,N,Retail,NA,NA,NA,The Consistent,Erivan Haub
Hong Kong,Y,N,N,Real Estate,1972,NA,25,The Consistent,Francis Choi
China,Y,Y,N,Automotive,1984,Chairman,20,The Consistent,Wei Jianjun
Italy,N,N,N,Food and Beverage,1946,NA,NA,The Consistent,Augusto & Giorgio Perfetti
