Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Lindsay Fox,Lindsay Fox,733,Australia,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Liora Ofer,Liora Ofer,,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Lirio Parisotto,Lirio Parisotto,,Brazil,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Liselott Persson,Liselott Persson,,Sweden,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,
Liu Baolin,Liu Baolin,,China,NA,NA,NA,NA,X,NA,X,X,X,X,X,2011,6,1,1,1,
Liu Bing,Liu Bing,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Liu Canglong,Liu Canglong,,China,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,2012,2,1,1,4,
Liu Changqing,Liu Changqing,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,
Liu Dianbo,Liu Dianbo,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Liu Fuhai,Liu Fuhai,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Liu Gexin,Liu Gexin,,China,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,
Liu Hanyuan,Liu Hanyuan,,China,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,X,2008,2,1,1,8,
Liu Jianjun,Liu Jianjun,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Liu Ming Chung,Liu Ming Chung,,Brazil,X,X,NA,X,X,X,X,X,X,NA,X,2007,9,2,2,1,
Liu Ming Hui,Liu Ming Hui,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,
Liu Qiangdong,Liu Qiangdong,734,China,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Liu Ruopeng,Liu Ruopeng,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Liu Shaoxi,Liu Shaoxi,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Liu Xiaodong,Liu Xiaodong,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Liu Xiaomeng,Liu Xiaomeng,,China,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Liu Xuejing,Liu Xuejing,,China,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,
Liu Yiqian,Liu Yiqian,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,
Liu Yonghao,Liu Yonghao,735,China,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Liu Yongxing,Liu Yongxing,736,China,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Liu Zaiwang,Liu Zaiwang,,China,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
Liu Zhendong,Liu Zhendong,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Liu Zhenfeng,Liu Zhenfeng,,China,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Liu Zhenguo,Liu Zhenguo,,China,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Liu Zhiqiang,Liu Zhiqiang,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Liu Zhongtian,Liu Zhongtian,737,China,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Lloyd Dorfman,Lloyd Dorfman,,United Kingdom,X,X,NA,X,NA,NA,NA,NA,NA,NA,NA,2007,3,2,1,1,
Lo Ka Shui,Lo Ka Shui,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Lo Siu-tong,Lo Siu-tong,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Lo Siu Yu,Lo Siu Yu,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Lorenzo Fertitta,Lorenzo Fertitta,361,United States,NA,X,NA,NA,X,NA,NA,X,X,X,X,2008,6,2,2,2,
Lorenzo Mendoza,Lorenzo Mendoza,,Venezuela,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,
Lorenzo Zambrano,Lorenzo Zambrano,,Mexico,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Loretta Robinson,Loretta Robinson,,Canada,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Lottie Tham,Lottie Tham,738,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Lou Zhongfu,Lou Zhongfu,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,
Louis Bacon,Louis Bacon,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Louis Gonda,Louis Gonda,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Louis Le Duff,Louis Le Duff,739,France,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Louise Lindh,Louise Lindh,,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Low Tuck Kwong,Low Tuck Kwong,,Indonesia,NA,NA,NA,X,X,X,X,X,X,X,NA,2010,7,1,0,0,
Lowell Milken,Lowell Milken,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,X,2008,2,1,1,8,
