Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Alfred Taubman,Alfred Taubman,,United States,NA,NA,NA,X,X,X,X,X,X,NA,NA,2010,6,1,0,0,
A. Jerrold Perenchio,A. Jerrold Perenchio,268,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Abdul Aziz Al Ghurair & family,Abdulla bin Ahmad Al Ghurair,367,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Abdul Majeed Alhokair,Abdul Majeed Alhokair,,Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,
Abdul Rasyid,Abdul Rasyid,,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,
Abdulla Al Futtaim,Abdulla Al Futtaim,366,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Abdullah Al Rajhi,Abdullah Al Rajhi,,Saudi Arabia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Abdulsamad Rabiu,Abdulsamad Rabiu,,Nigeria,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,
Abhay Firodia,Abhay Firodia,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Abigail Johnson,Abigail Johnson,30,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Abilio dos Santos Diniz,Abilio dos Santos Diniz,368,Brazil,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Achal Bakeri,Achal Bakeri,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Acharya Balkrishna,Acharya Balkrishna,369,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Achmad Hamami,Achmad Hamami,,Indonesia,NA,NA,NA,NA,NA,X,X,X,X,X,NA,2012,5,1,0,0,
Adam Neumann,Adam Neumann,370,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,
Adi Godrej & family,Adi Godrej,371,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Adolf Merckle,Adolf Merckle,,Germany,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,
Aerin Lauder Zinterhofer,Aerin Lauder Zinterhofer,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Ahmet Calik,Ahmet Calik,,Turkey,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Ahmet Nazif Zorlu,Ahmet Nazif Zorlu,,Turkey,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,
Ahmet Zorlu,Ahmet Zorlu,,Turkey,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,
Ahsen Ozokur,Ahsen Ozokur,,Turkey,NA,X,NA,X,X,X,X,X,X,NA,NA,2008,7,2,1,1,
Airat Shaimiev,Airat Shaimiev,,Russia,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,
Ajay Kalsi,Ajay Kalsi,,India,NA,NA,NA,NA,X,X,X,X,NA,NA,X,2011,5,1,1,2,
Ajay Piramal,Ajay Piramal,372,India,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Akio Nitori,Akio Nitori,373,Japan,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Akira Mori & family,Akira Mori,374,Japan,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alain & Gerard Wertheimer,Alain & Gerard Wertheimer,,France,X,X,X,X,X,X,X,NA,NA,NA,NA,2007,7,1,0,0,
Alain Bouchard,Alain Bouchard,375,Canada,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Alain Merieux & family,Alain Merieux,376,France,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alain Taravella,Alain Taravella,,France,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Alain Wertheimer,Alain Wertheimer,377,France,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Alan Auerbach,Alan Auerbach,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,
Alan Casden,Alan Casden,,United States,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,
Alan Gerry,Alan Gerry,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alan Howard,Alan Howard,,United Kingdom,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,
Alan N. Trefler,Alan N. Trefler,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Alan Rydge,Alan Rydge,,Australia,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,
Albert Berner,Albert Berner,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Albert Blokker,Albert Blokker,,Belgium,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,
Albert Frere,Albert Frere,378,Belgium,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Albert Gubay,Albert Gubay,,United Kingdom,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,
Albert Shigaboutdinov,Albert Shigaboutdinov,,Russia,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,
Albert Ueltschi,Albert Ueltschi,,United States,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,
Albert von Thurn und Taxis,Albert von Thurn und Taxis,,Germany,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,
Albert Yeung,Albert Yeung,,Hong Kong,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,
Alberto Alcocer,Alberto Alcocer,,Spain,NA,X,X,X,X,X,NA,X,X,X,X,2008,9,1,1,1,
Alberto Bailleres,Alberto Bailleres Gonzalez,379,Mexico,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alberto Benavides,Alberto Benavides,,Peru,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,
Alberto Bombassei,Alberto Bombassei,,Italy,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,
Alberto Cortina,Alberto Cortina,,Spain,NA,X,X,X,X,X,X,X,X,NA,X,2008,9,1,1,1,
Alberto Prada,Alberto Prada,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Alberto Roemmers,Alberto Roemmers,,Argentina,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,
Aldo Bensadoun,Aldo Bensadoun,,Canada,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,
Alec Gores,Alec Gores,352,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alejandro Bulgheroni,Alejandro Bulgheroni,380,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,
Alejandro Santo Domingo Davila,Alejandro Santo Domingo,128,Colombia,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,
Alex Beard,Alex Beard,,United Kingdom,NA,NA,NA,NA,NA,X,X,X,X,NA,X,2012,5,1,1,1,
Alexander Abramov,Alexander Abramov,381,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,
Alexander Dzhaparidze,Alexander Dzhaparidze,,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,
