Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Cui Lijie,Cui Lijie,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Cui Zhixiang,Cui Zhixiang,,China,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Curt Engelhorn,Curt Engelhorn,,Germany,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,Technology-Medical
Cyrus Poonawalla,Cyrus Poonawalla,486,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Medical
D. Leopoldo Del Pino y Calvo-Sotelo,D. Leopoldo Del Pino y Calvo-Sotelo,,Spain,NA,NA,NA,NA,NA,NA,X,X,NA,X,X,2013,4,1,1,1,Constrution
Dagmar Dolby & family,Dagmar Dolby,202,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Technology-Computer
Dai Deming,Dai Deming,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Daisy Igel,Daisy Igel,,Brazil,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,Energy
Dan Cathy,Dan Cathy,173,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Dan Duncan,Dan Duncan,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,#N/A
Dan Friedkin,Dan Friedkin,193,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,"Retail, Restaurant"
Dan Gertler,Dan Gertler,,Israel,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Mining and metals
Dan Olsson,Dan Olsson,487,Sweden,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Diversified financial
Dan Snyder,Dan Snyder,346,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Other
Dan Wilks,Dan Wilks,,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Energy
Daniel D'Aniello,Daniel D'Aniello,295,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Private equity/leveraged buyout
Daniel Gilbert,Daniel Gilbert,87,United States,X,X,NA,NA,NA,X,X,X,X,X,X,2007,8,1,1,3,Money Management
"Daniel Harrison, III.","Daniel Harrison, III.",,United States,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Energy
Daniel Hirschfeld,Daniel Hirschfeld,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,0
Daniel Kretinsky,Daniel Kretinsky,488,Czech Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Daniel Loeb,Daniel Loeb,257,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Hedge funds
Daniel Mate,Daniel Mate,489,Spain,NA,NA,NA,NA,NA,X,X,X,X,NA,X,2012,5,1,1,1,Mining and metals
Daniel Och,Daniel Och,225,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Hedge funds
Daniel Pritzker,Daniel Pritzker,344,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Daniel Roullier,Daniel Roullier,,France,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Daniel Servitje Montull,Daniel Servitje Montull,,Mexico,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Daniel Tsai,Daniel Tsai,490,Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Daniel Ziff,Daniel Ziff,123,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Hedge funds
Daniela Herz,Daniela Herz,491,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Danil Khachaturov,Danil Khachaturov,492,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Hedge funds
Dannine Avara,Dannine Avara,89,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Non-consumer industrial
Danny Tan Chee Sing,Danny Tan Chee Sing,,Malaysia,NA,NA,NA,NA,NA,NA,NA,X,X,NA,NA,2014,2,1,0,0,Real Estate
Dariusz Milek,Dariusz Milek,,Poland,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,2014,3,1,1,1,Real Estate
Darwin Deason,Darwin Deason,,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,"Retail, Restaurant"
Daryl Katz,Daryl Katz,493,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
David & Frederick Barclay,David & Frederick Barclay,494,United Kingdom,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
David & Simon Reuben,David & Simon Reuben,495,United Kingdom,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
David Azrieli,David Azrieli,,Canada,NA,X,X,X,X,X,X,X,NA,NA,NA,2008,7,1,0,0,Real Estate
David Bonderman,David Bonderman,292,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Private equity/leveraged buyout
David Booth,David Booth,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Money Management
David Cheriton,David Cheriton,496,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
David Chow,David Chow,,Macau,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Real Estate
David Consunji & family,David Consunji,497,Philippines,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Constrution
David Davidovich,David Davidovich,,Russia,X,X,NA,NA,X,NA,NA,NA,NA,NA,NA,2007,3,2,1,2,#N/A
David Duffield,David Duffield,76,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
David Einhorn,David Einhorn,,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Hedge funds
David Filo,David Filo,209,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Computer
David Geffen,David Geffen,71,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
David Gottesman,David Gottesman,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Diversified financial
David Green,David Green,82,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
David Hains,David Hains,498,Australia,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Money Management
David Harding,David Harding,,United Kingdom,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Money Management
David Hearst Jr,David Hearst Jr,,United States,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,#N/A
David Hindawi,David Hindawi,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
David Kabiller,David Kabiller,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
David Koch,David Koch,8,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Energy
David McMurtry,David McMurtry,,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
David Murdock,David Murdock,279,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
David Nahmad,David Nahmad,,Monaco,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Other
David Penaloza Alanis,David Penaloza Alanis,,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
David Penaloza Sandoval,David Penaloza Sandoval,,Mexico,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Constrution
David Rich,David Rich,,United States,NA,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2008,2,1,0,0,#N/A
David Rockefeller,"David Rockefeller, Sr.",218,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Energy
David Ross,David Ross,,United Kingdom,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
David Rubenstein,David Rubenstein,308,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Private equity/leveraged buyout
David Sainsbury,David Sainsbury,,United Kingdom,X,X,X,X,X,X,X,X,X,NA,NA,2007,9,1,0,0,"Retail, Restaurant"
David Shaw,David Shaw,100,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Hedge funds
David Shou-Yeh Wong,David Shou-Yeh Wong,,Hong Kong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
David Siegel,David Siegel,122,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
David Sun,David Sun,105,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Technology-Computer
David Teoh,David Teoh,,Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
David Tepper,David Tepper,45,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Hedge funds
David Thomson & family,David Thomson,499,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
David Walentas,David Walentas,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Real Estate
David William Grainger,David William Grainger,,United States,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
David Yakobashvili,David Yakobashvili,,Russia,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Energy
Dean White,Dean White,,United States,X,X,X,X,X,X,X,X,X,X,NA,2007,10,1,0,0,Real Estate
Demetrio Carceller Coll,Demetrio Carceller Coll,500,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Denis O'Brien,Denis O'Brien,501,Ireland,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Media
Denise Coates,Denise Coates,502,United Kingdom,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Technology-Computer
Denise York,Denise York,325,United States,NA,NA,NA,NA,NA,X,X,X,NA,X,X,2012,5,1,1,1,0
Deniz Sahenk,Deniz Sahenk,,Turkey,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Money Management
Dennis Albaugh,Dennis Albaugh,,United States,X,X,X,NA,NA,NA,NA,NA,NA,NA,NA,2007,3,1,0,0,#N/A
Dennis Washington,Dennis Washington,86,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Constrution
Dermot Desmond,Dermot Desmond,503,Ireland,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Desh Bandhu Gupta,Desh Bandhu Gupta,504,India,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Technology-Medical
Desmond Lim Siew Choon,Desmond Lim Siew Choon,,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Desmond Sacco,Desmond Sacco,,South Africa,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Mining and metals
Devendra Jain,Devendra Jain,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Dhanin Chearavanont & family,Dhanin Chearavanont,505,Thailand,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Diane Hendricks,Diane Hendricks,166,United States,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Constrution
Diane Kemper,Diane Kemper,242,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Didier Primat,Didier Primat,,France,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Energy
Diego Della Valle,Diego Della Valle,,Italy,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,"Retail, Restaurant"
Dieter Schaub,Dieter Schaub,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,#N/A
Dieter Schnabel,Dieter Schnabel,,Germany,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Non-consumer industrial
Dieter Schwarz,Dieter Schwarz,506,Germany,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Dieter von Holtzbrinck,Dieter von Holtzbrinck,,Germany,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,Media
Dietmar Hopp,Dietmar Hopp,507,Germany,X,X,NA,NA,NA,X,X,X,X,X,X,2007,8,1,1,3,Technology-Computer
Dietrich Mateschitz,Dietrich Mateschitz,508,Austria,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Dilek Sabanci,Dilek Sabanci,,Turkey,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Dilip Shanghvi,Dilip Shanghvi,509,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Medical
Dinara Kulibaeva,Dinara Kulibaeva,510,Kazakhstan,X,X,NA,X,X,NA,X,X,X,X,X,2007,9,2,2,1,Money Management
Ding Shijia,Ding Shijia,511,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,Consumer
Ding Shizhong & family,Ding Shizhong,512,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,"Retail, Restaurant"
Ding Yuhua,Ding Yuhua,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Dinu Patriciu,Dinu Patriciu,,Romania,NA,X,X,X,X,X,NA,NA,NA,NA,NA,2008,5,1,0,0,#N/A
Dirce Navarro De Camargo,Dirce Navarro De Camargo,,Brazil,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Dirk Rossmann,Dirk Rossmann,513,Germany,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Dirk Ziff,Dirk Ziff,124,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Hedge funds
Djoko Susanto,Djoko Susanto,,Indonesia,NA,NA,NA,NA,NA,X,X,NA,X,X,X,2012,5,1,1,1,#N/A
Dmitry Ananyev,Dmitry Ananyev,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Money Management
Dmitry Kamenshchik,Dmitry Kamenshchik,514,Russia,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Dmitry Korzhev,Dmitry Korzhev,,Russia,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,"Retail, Restaurant"
Dmitry Mazepin,Dmitry Mazepin,,Russia,NA,NA,NA,NA,X,X,X,X,X,NA,NA,2011,5,1,0,0,Non-consumer industrial
Dmitry Pumpyansky,Dmitry Pumpyansky,,Russia,X,X,NA,X,X,X,X,X,NA,X,X,2007,9,2,2,1,Non-consumer industrial
Dmitry Rybolovlev,Dmitry Rybolovlev,515,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Dmitry Troitsky,Dmitry Troitsky,,Russia,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,"Retail, Restaurant"
Dmitry Zelenov,Dmitry Zelenov,,Russia,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Do Won & Jin Sook Chang,Do Won & Jin Sook Chang,263,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Domenico Dolce,Domenico Dolce,,Italy,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Consumer
Dominika & Sebastian Kulczyk,Dominika & Sebastian Kulczyk,516,Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Dominique Desseigne,Dominique Desseigne,,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Don Gao,Don Gao,,China,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,#N/A
Don Hankey,Don Hankey,299,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Money Management
Don Simplot,Don Simplot,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,#N/A
Dona Bertarelli,Dona Bertarelli,517,Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Donald Bren,Donald Bren,29,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Donald Friese,Donald Friese,,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Donald Gordon,Donald Gordon,,South Africa,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Donald Hall,Donald Hall,,United States,X,X,NA,X,X,NA,X,X,X,NA,NA,2007,7,3,2,1,"Retail, Restaurant"
Donald Marron,Donald Marron,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Donald Newhouse,Donald Newhouse,40,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Donald Schneider,Donald Schneider,,United States,X,X,X,X,X,NA,NA,NA,NA,NA,NA,2007,5,1,0,0,Other
Donald Sterling,Donald Sterling,205,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Real Estate
Donald Trump,Donald Trump,207,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Donald Tyson,Donald Tyson,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Dong Fan,Dong Fan,,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Donna MacMillan,Donna MacMillan,,United States,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,2012,1,1,0,0,#N/A
Doris Fisher,Doris Fisher,285,United States,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Consumer
Dorothea Steinbruch,Dorothea Steinbruch,,Brazil,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,Non-consumer industrial
Dorrance Hamilton,Dorrance Hamilton,,United States,X,X,X,X,NA,NA,NA,NA,X,X,X,2007,7,1,1,4,#N/A
Dou Zhenggang,Dou Zhenggang,,China,NA,X,X,NA,NA,NA,NA,NA,NA,X,X,2008,4,1,1,6,#N/A
Douglas Fregin,Douglas Fregin,,Canada,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,2008,2,2,1,1,#N/A
Douglas Hsu,Douglas Hsu,,Taiwan,X,X,NA,NA,X,X,X,X,X,NA,NA,2007,7,2,1,2,Diversified financial
Douglas Leone,Douglas Leone,256,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Drayton McLane,Drayton McLane,,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,#N/A
Drew Houston,Drew Houston,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Technology-Computer
Du Jiangtao & family,Du Jiangtao,518,China,NA,NA,NA,NA,X,NA,NA,X,X,X,X,2011,5,1,1,2,Non-consumer industrial
Du Shuanghua,Du Shuanghua,,China,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,2009,2,1,0,0,#N/A
Dulce Pugliese de Godoy Bueno,Dulce Pugliese de Godoy Bueno,,Brazil,NA,NA,NA,NA,X,X,X,X,X,NA,X,2011,6,1,1,1,Real Estate
Dustin Moskovitz,Dustin Moskovitz,46,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Technology-Computer
Dwight Opperman,Dwight Opperman,,United States,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
E. Joe Shoen,E. Joe Shoen,311,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
E. Stanley Kroenke,E. Stanley Kroenke,,United States,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,2010,1,1,0,0,#N/A
Eddie & Sol Zakay,Eddie & Sol Zakay,,United Kingdom,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Eddy Kusnadi Sariaatmadja,Eddy Kusnadi Sariaatmadja,,Thailand,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Edgar Bronfman Sr,Edgar Bronfman Sr,,United States,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,#N/A
Edgar de Picciotto,Edgar de Picciotto,,Switzerland,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,Money Management
Edgar Sia,Edgar Sia,,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Edir Macedo,Edir Macedo,,Brazil,NA,NA,NA,NA,NA,NA,X,X,X,NA,NA,2013,3,1,0,0,Media
Edmund Ansin,Edmund Ansin,,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Edson de Godoy Bueno,Edson de Godoy Bueno,,Brazil,NA,NA,NA,NA,X,X,X,X,X,X,NA,2011,6,1,0,0,Real Estate
Eduard Shifrin,Eduard Shifrin,,United Kingdom,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,#N/A
Eduardo Belmont Anderson,Eduardo Belmont Anderson,,Peru,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Consumer
Eduardo Carmignac,Eduardo Carmignac,,France,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Eduardo Cojuangco,Eduardo Cojuangco,,Philippines,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,X,2012,2,1,1,4,#N/A
Eduardo Costantini,Eduardo Costantini,,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Eduardo Eurnekian,Eduardo Eurnekian,519,Argentina,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Real Estate
Eduardo Hochschild,Eduardo Hochschild,,Peru,NA,NA,NA,NA,NA,X,X,X,NA,NA,X,2012,4,1,1,2,Mining and metals
Eduardo Saverin,Eduardo Saverin,520,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Technology-Computer
Edward Bass,Edward Bass,236,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Energy
Edward DeBartolo,"Edward DeBartolo, Jr.",252,United States,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Real Estate
Edward Johnson,"Edward Johnson, III.",65,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Edward Lampert,Edward Lampert,353,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Edward Linde,Edward Linde,,United States,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Edward Rogers,Edward Rogers,,Canada,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Media
Edward Roski,"Edward Roski, Jr.",118,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Edward Stack,Edward Stack,,United States,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,"Retail, Restaurant"
Edward Watkins Jr,Edward Watkins Jr,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Edwin Leong,Edwin Leong,521,Hong Kong,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Real Estate
Edwin Soeryadjaya,Edwin Soeryadjaya,,Indonesia,NA,NA,NA,NA,X,X,X,X,X,NA,NA,2011,5,1,0,0,Mining and metals
Eggon da Silva,Eggon da Silva,,Brazil,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Non-consumer industrial
Eike Batista,Eike Batista,,Brazil,NA,X,X,X,X,X,X,NA,NA,NA,NA,2008,6,1,0,0,#N/A
Eitaro Itoyama,Eitaro Itoyama,,Japan,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,Real Estate
Elaine Marshall,Elaine Marshall,,United States,NA,NA,NA,NA,NA,NA,X,X,NA,NA,NA,2013,2,1,0,0,Diversified financial
Elaine Wynn,Elaine Wynn,,United States,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Elena Baturina,Elena Baturina,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Constrution
Eli Broad,Eli Broad,66,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Elie Horn,Elie Horn,,Brazil,X,X,NA,X,X,X,X,X,NA,NA,NA,2007,7,2,1,1,Real Estate
Eliezer Steinbruch,Eliezer Steinbruch,,Brazil,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,#N/A
Eliodoro Matte & family,Eliodoro Matte,522,Chile,X,X,X,NA,NA,NA,X,X,X,X,X,2007,8,1,1,3,Consumer
"Eliodoro, Bernardo & Patricia Matte","Eliodoro, Bernardo & Patricia Matte",,Chile,NA,NA,NA,X,X,X,NA,NA,NA,NA,NA,2010,3,1,0,0,#N/A
Elisabeth Badinter,Elisabeth Badinter,,France,NA,NA,NA,NA,NA,X,X,X,X,NA,NA,2012,4,1,0,0,Media
Elisabeth Mohn,Elisabeth Mohn,523,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Eliseo Alexandre Soares dos Santos,Eliseo Alexandre Soares dos Santos,,Portugal,NA,NA,NA,NA,X,X,X,NA,NA,NA,NA,2011,3,1,0,0,#N/A
Elizabeth Ann Hall Reid,Elizabeth Ann Hall Reid,,United States,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,0,0,#N/A
Elizabeth Holmes,Elizabeth Holmes,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,NA,2015,2,1,0,0,#N/A
Elizabeth Mohn,Elizabeth Mohn,,Germany,NA,NA,NA,X,X,X,X,X,X,NA,NA,2010,6,1,0,0,Media
Elon Musk,Elon Musk,31,United States,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,Consumer
Els Blokker,Els Blokker,,Netherlands,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,"Retail, Restaurant"
Emanuele (Lino) Saputo,Emanuele (Lino) Saputo,524,Canada,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
