Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Albert von Thurn und Taxis,Albert von Thurn und Taxis,,Germany,X,X,X,X,X,X,X,X,NA,NA,NA,2007,8,1,0,0,Money Management
Albert Yeung,Albert Yeung,,Hong Kong,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,Real Estate
Alberto Alcocer,Alberto Alcocer,,Spain,NA,X,X,X,X,X,NA,X,X,X,X,2008,9,1,1,1,Diversified financial
Alberto Bailleres,Alberto Bailleres Gonzalez,379,Mexico,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Alberto Benavides,Alberto Benavides,,Peru,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,2013,1,1,0,0,#N/A
Alberto Bombassei,Alberto Bombassei,,Italy,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,Consumer
Alberto Cortina,Alberto Cortina,,Spain,NA,X,X,X,X,X,X,X,X,NA,X,2008,9,1,1,1,Diversified financial
Alberto Prada,Alberto Prada,,Italy,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Alberto Roemmers,Alberto Roemmers,,Argentina,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,Technology-Medical
Aldo Bensadoun,Aldo Bensadoun,,Canada,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Alec Gores,Alec Gores,352,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Private equity/leveraged buyout
Alejandro Bulgheroni,Alejandro Bulgheroni,380,Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Alejandro Santo Domingo Davila,Alejandro Santo Domingo,128,Colombia,NA,NA,NA,NA,NA,X,X,X,X,X,X,2012,6,0,0,0,#N/A
Alex Beard,Alex Beard,,United Kingdom,NA,NA,NA,NA,NA,X,X,X,X,NA,X,2012,5,1,1,1,Mining and metals
Alexander Abramov,Alexander Abramov,381,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Non-consumer industrial
Alexander Dzhaparidze,Alexander Dzhaparidze,,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Energy
Alexander Frolov,Alexander Frolov,,Russia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Alexander Girda,Alexander Girda,,Russia,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Alexander Karp,Alexander Karp,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Alexander Klyachin,Alexander Klyachin,,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Alexander Knaster,Alexander Knaster,,United States,X,X,NA,X,X,X,X,X,NA,NA,NA,2007,7,2,1,1,Energy
Alexander Lebedev,Alexander Lebedev,,Russia,X,X,NA,X,X,X,NA,NA,NA,NA,NA,2007,5,2,1,1,#N/A
Alexander Lutsenko,Alexander Lutsenko,,Russia,NA,NA,NA,NA,NA,NA,X,NA,X,NA,NA,2013,2,2,1,1,#N/A
Alexander Machkevich,Alexander Machkevich,,Israel,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Mining and metals
Alexander Mamut,Alexander Mamut,382,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Diversified financial
Alexander Nesis,Alexander Nesis,383,Russia,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Mining and metals
Alexander Ponomarenko,Alexander Ponomarenko,384,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Real Estate
Alexander Putilov,Alexander Putilov,,Russia,NA,NA,NA,NA,X,NA,X,X,NA,NA,NA,2011,3,2,1,1,Energy
Alexander Rovt,Alexander Rovt,,United States,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,Consumer
Alexander Samwer,Alexander Samwer,,Germany,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,2015,1,1,0,0,#N/A
Alexander Shchukin,Alexander Shchukin,,Russia,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Alexander Shnaider,Alexander Shnaider,,Canada,X,X,X,X,NA,NA,NA,NA,NA,NA,NA,2007,4,1,0,0,#N/A
Alexander Skorobogatko,Alexander Skorobogatko,385,Russia,NA,X,NA,X,X,X,X,X,X,X,X,2008,9,1,1,1,Real Estate
Alexander Spanos & family,Alexander Spanos,324,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Alexander Svetakov,Alexander Svetakov,386,Russia,NA,X,NA,NA,NA,X,X,X,X,X,X,2008,7,1,1,3,Money Management
Alexander Tedja,Alexander Tedja,,Indonesia,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,X,2013,2,1,1,3,#N/A
Alexander Vagin,Alexander Vagin,,Russia,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,2011,1,1,0,0,#N/A
Alexander Vik,Alexander Vik,,Norway,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Diversified financial
Alexandra Andresen,Alexandra Andresen,,Norway,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Alexandra Daitch,Alexandra Daitch,,United States,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Alexandra Schorghuber,Alexandra Schoerghuber,387,Germany,NA,NA,X,X,X,X,X,X,X,X,X,2009,9,0,0,0,#N/A
Alexandre Grendene Bartelle,Alexandre Grendene Bartelle,388,Brazil,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Alexandre Soares dos Santos & family,Alexandre Soares dos Santos,389,Portugal,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,"Retail, Restaurant"
Alexei Ananyev,Alexei Ananyev,,Russia,X,X,NA,X,X,X,X,X,X,X,X,2007,10,1,1,1,Money Management
Alexei Bogachev,Alexei Bogachev,,Russia,NA,NA,NA,NA,NA,NA,NA,X,X,NA,X,2014,3,1,1,1,"Retail, Restaurant"
Alexei Kuzmichev,Alexei Kuzmichev,390,Russia,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Energy
Alexei Kuzmichov,Alexei Kuzmichov,,Russia,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Alexei Mordashov,Alexei Mordashov,,Russia,X,X,X,X,X,X,NA,NA,NA,NA,NA,2007,6,1,0,0,Non-consumer industrial
Alexei Semin,Alexei Semin,,Russia,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,2014,1,1,0,0,Real Estate
