Country_Name,no_of_holidays,avg_gdp,Average_PPP,Average_grads,Population,Average_Income,Compensation of employees (% of expense),Consumer price index (2010 = 100),Duration of compulsory education (years),Gross savings (% of GDP),"Health expenditure, private (% of GDP)","Labor force, total","Life expectancy at birth, total (years)",Unemployment_Rate,Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Average Democratic Index,Average GDP Growth,Household final expenditure (% of GDP)
Bulgaria,9,52553097480,1100.003512,52946.55556,7355466.778,506.76,17.69255462,101.1425751,10,20.19711571,3.191260314,3416118.75,73.91219512,9.674999953,13.68481208,67.56823619,18.74695173,6.907777778,1.879059298,63.91082498
Burkina Faso,8,10015882823,87.94457397,6970.111111,16138657.89,0,44.41917343,102.1551346,10,19.13025059,2.712662218,7134476.625,57.10849085,3.299999952,46.16808901,51.37258441,2.459326584,3.962222222,5.351031065,63.34722408
Burundi,7,2272859256,58.72002176,2647.555556,9812415.444,256.25,0,113.9869616,0,10.0415183,3.949033309,4421952.125,55.07155793,1.600000024,44.38823388,53.05204312,2.559723007,3.585555556,3.405480329,76.34033799
Cabo Verde,9,1737218215,267.4716295,0,497761,191.18,42.86202441,102.5881067,8.5,33.41536712,1.143825598,224095.75,72.64189634,10.69999981,31.86031486,62.86416636,5.275518786,7.833333333,3.463972404,63.37754409
Cambodia,8,13086734069,149.9981555,7230.222222,14620026.22,243.94,36.77738924,103.3089892,0,14.19534881,4.302384956,7971840.25,66.52544207,0.483333346,33.1363493,63.05907618,3.80457452,4.695555556,6.541381521,79.53489023
Cameroon,6,26070413699,120.8536396,12292,21157846.44,466.74,0,102.8553868,6,13.11373089,3.466272291,8273403.125,53.9442622,3.5,43.28240692,53.47037889,3.247214187,3.436666667,4.147937934,75.96088672
Canada,8,1.64E+12,4395.02916,0,34379192.56,2773.5,11.44916901,102.3198499,10,21.31928271,3.110598797,19015382.88,81.32719207,7.162500083,16.43973361,68.95794758,14.60231881,9.085555556,1.539217345,56.0607875
Cayman Islands,11,0,0,46,56201,3313.01,0,0,12,0,0,0,0,5.685714279,0,0,0,,,
Central African Republic,10,1859620773,30.97548684,68.33333333,4539405,0,34.02737858,113.4589277,0,0,1.977647464,2107385.625,48.06563415,0,40.24536998,55.853178,3.901452021,1.695555556,-1.336554613,93.66120744
Chad,8,11243017844,60.48383867,0,12345605.44,0,0,102.5499875,10,0,1.793986733,4468484.875,50.07833537,0,48.4969921,48.95671797,2.546289931,1.547777778,5.273046591,68.07288996
