Country_Name,no_of_holidays,avg_gdp,Average_PPP,Average_grads,Population,Average_Income,Compensation of employees (% of expense),Consumer price index (2010 = 100),Duration of compulsory education (years),Gross savings (% of GDP),"Health expenditure, private (% of GDP)","Labor force, total","Life expectancy at birth, total (years)",Unemployment_Rate,Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Average Democratic Index,Average GDP Growth,Household final expenditure (% of GDP)
Mongolia,6,8988966101,415.5461773,25577.88889,2766695.889,464.89,27.1499805,114.9550407,12,28.50398392,2.151537344,1227717.875,67.82131098,6.585714272,27.44208246,68.67140643,3.886511108,6.501111111,8.416317442,54.4319456
Montenegro,9,4237774305,892.6377553,0,619627.8889,589.82,0,102.8132831,9,0.226500432,2.561798551,252626.25,75.17081098,18.97500014,19.48486467,67.45748045,13.05765489,6.12,2.597317236,83.29637082
Morocco,9,97103241160,368.3348678,57283.66667,32605790.78,415.59,43.1941875,101.07882,9,29.13655619,3.782605544,11778159.63,72.72367988,9.325000048,28.01244538,65.95313275,6.034421876,4.107777778,4.151664875,59.14621971
Mozambique,8,13027367435,54.35736425,8076.111111,25081660.44,757.22,42.67079252,104.5535764,0,8.992823985,2.741526921,11333221,53.41358842,22.60000038,45.75135343,50.95474776,3.293898808,4.833333333,6.983610708,75.06425887
Myanmar,15,29170936826,71.92115319,59461.66667,52202105.78,0,0,103.3924585,5,0,1.514930515,28787180.5,65.01787195,0,29.21769608,65.67496265,5.107341274,2.62,8.785179802,
Namibia,9,11101845724,692.5942014,613.8888889,2253884.778,633.02,43.5390906,105.7027707,7,21.72834782,3.411888199,840977.625,62.38355793,26.57999992,37.80020969,58.75060859,3.449181722,6.314444444,4.795948871,63.79582942
Nauru,7,0,672.9606539,0,10091.11111,0,0,0,12,0,0.647153629,0,0,23,0,0,0,,18.99354748,
Nepal,22,16601682537,123.3730047,33876.44444,27228948.33,166.49,27.09040432,111.3156495,0,39.8168347,3.531783813,14371990,68.14297561,3,36.03683815,58.90081585,5.062346001,4.364444444,4.434649757,79.09632137
Netherlands,6,8.54E+11,4772.56091,88538.44444,16669674.11,2937.58,7.382441829,102.6582982,12,28.36991157,1.411314226,8948210.625,80.81493903,4.637500048,17.21834588,66.60199613,16.17965799,9.071111111,0.75780706,44.99933381
New Zealand,10,1.61E+11,3469.311179,41526,4386277.778,2693.05,22.67473369,101.980198,10,17.78053264,1.851584096,2349788.5,80.84756097,5.737500012,20.57049687,66.01086211,13.41864102,9.224444444,1.878459793,58.12509978
Nicaragua,8,9847057560,316.0467221,0,5805263.556,592.5,37.1440409,108.7963889,7,18.25727952,3.142806863,2447517,73.72065549,6.125,32.23842638,62.98496281,4.776610806,5.494444444,3.824569696,84.33564169
Niger,10,6357559324,51.58745071,537.7777778,17058991.44,0,0,101.0283965,0,17.42505996,3.776388561,5396264.5,58.61250915,2.400000095,50.0752376,47.38841247,2.536349927,3.84,5.604372668,70.57974467
Nigeria,11,3.72E+11,236.0913618,0,164156178.8,731.68,43.09678023,112.4799308,9,22.11217355,2.671220802,50556992.88,51.42535976,14.01249993,43.96539191,53.28569654,2.748911555,3.863333333,5.710701071,70.06173431
Norway,9,4.55E+11,5683.199034,35217.77778,4953308.889,4215.43,16.69853634,100.8658756,10,38.47352761,1.392589776,2630838.125,81.12865854,3.099999994,18.62470032,66.05114382,15.32415586,9.831111111,1.171063873,40.79430591
Oman,4,64948157781,1150.601999,7726.666667,3371172.889,2087.14,29.01152786,101.33708,0,33.76870879,0.437430582,1496585.75,76.15429878,0,24.92677985,72.42182276,2.651397392,3.068888889,4.929089871,30.16676282
Pakistan,17,2.06E+11,128.7199377,0,173961473.8,239.31,4.518662774,109.2425479,12,21.01503591,2.050652881,59283934.88,65.28580793,5.41428566,36.01145571,59.55061686,4.437927436,4.451111111,3.445736845,80.45978386
Palau,6,216155555.6,1320.521791,10.44444444,20647.55556,0,0,0,12,0,2.677536266,0,0,0,0,0,0,,0.888256577,
Panama,14,35719303778,1225.607788,17053.33333,3682787,770.21,0,105.6730913,11,26.91683534,2.222579514,1708547.875,76.95646646,5.3125,28.42225457,64.60991413,6.967831304,7.165555556,7.494916138,55.92960412
Papua New Guinea,5,10307634055,99.01106327,0,7001873,274.1,0,104.3101932,0,0,0.936506814,3075126.25,62.02564634,0,38.54436069,58.6149741,2.840665208,6.301111111,7.550840073,
Paraguay,10,22823506547,666.9052406,0,6297916.667,425.61,54.50858441,106.09491,11,16.3055189,5.233796948,2982784.5,72.35741768,5.449999988,32.16779393,62.35297774,5.479228334,6.304444444,5.081370398,68.97374163
Peru,9,1.62E+11,513.5773551,0,29793773.44,492.13,17.93966567,104.0885696,12.75,22.11603349,2.256438278,15863699.88,73.7512439,4.362500012,29.15073012,64.52811946,6.321150421,6.465555556,5.666467735,62.59864431
Philippines,15,2.24E+11,252.4755006,346729,94652413.56,330.73,35.73735877,103.4670355,8.5,49.50663507,2.901077201,40227358.13,67.8523872,7.175000072,33.54712813,62.26293103,4.189940849,6.455555556,5.453450956,73.6354304
Poland,9,4.94E+11,1407.211838,525946.2222,38068728.89,905.62,13.98814413,102.181468,12,17.41368124,1.927989833,17991665.38,76.30304878,9.187500178,15.06248035,70.88876855,14.0487511,7.155555556,3.661021021,60.84259833
Portugal,11,2.33E+11,2651.544583,76358.22222,10502433,1081.73,24.31170725,102.840824,9,12.73042774,3.299674141,5508617.5,79.61097561,11.76249999,14.76204308,66.041744,19.19621292,7.894444444,-0.335262347,65.63238938
Puerto Rico,14,75770039291,0,17823.66667,3657907.667,1703.52,0,0,13.75,0,0,1301508.875,78.62874695,14,20.17290532,66.44786691,13.37922777,,-2.191208392,58.35984584
Qatar,8,1.51E+11,2744.916677,1717,1817150,4038.08,32.24073287,104.3852469,9,56.19707398,0.382274998,1297424,77.93271037,0.416666677,14.92000868,83.95875488,1.121236441,3.096666667,10.80007932,16.34868167
Romania,10,1.82E+11,937.2214862,213218.6667,20218426.56,487.08,16.84589434,102.6843958,10,22.32879663,1.073032183,9583156.75,73.85609756,6.75000006,15.68774048,68.11497168,16.19728784,6.702222222,2.158397016,62.8458343
Russian Federation,13,1.72E+12,1467.251265,902251.1111,143196451.7,686.16,16.5305611,108.6154898,10,26.49054762,2.990853843,76849192.13,69.19542683,6.3125,15.40105238,71.34035072,13.2585969,3.883333333,1.834127089,51.32442318
Rwanda,9,6304010324,105.2857484,2906.555556,10550304.89,460,21.44922414,104.3644764,6,17.67557403,4.81114549,5177867,61.43053963,3.400000095,42.02591654,55.27419853,2.699884931,3.351111111,7.51045623,77.14668992
Samoa,6,706243391.1,315.7512242,0,187578.3333,63.82,27.88332215,101.4084618,8,0,0.700202235,49755.25,72.54953659,7.199999809,38.15058984,56.77023273,5.079177428,,1.120036384,
San Marino,11,398605257.7,3290.769533,0,30892.44444,0,32.91456636,101.496733,10,0,0.373710095,0,82.96318847,4.971428531,0,0,0,,2.69609198,
Sao Tome and Principe,6,207975877.1,223.7974755,0,174881.8889,0,41.18163902,110.9603028,6,0,4.511853035,59058.125,65.86845427,13.60000038,43.09656576,53.30033084,3.603103401,,4.785994685,
Saudi Arabia,7,6.04E+11,1752.477795,111410.8889,28804328.33,1786.07,0,103.2051314,9,43.31543314,1.125755256,10428398.75,73.80530488,5.585714272,30.06024001,67.14692507,2.792834916,1.848888889,5.127573164,31.40238632
Senegal,10,13699057635,99.42957732,0,13425036.67,200,37.4325722,102.0393087,11,17.38306316,2.269847647,5674374.25,64.2357561,10.39999962,43.74273666,53.20000078,3.057262564,5.8,3.964145547,78.43122679
Serbia,7,42786513408,1215.306536,38461.77778,7241130.556,507.08,25.85181867,109.095137,8,12.01922819,3.837026611,3184631.875,74.49146342,19.50000027,17.1031636,67.26454882,15.63228757,6.528888889,1.178699267,76.19564147
Seychelles,8,1143278213,700.2646532,72.22222222,88777.88889,267.21,29.8260412,100.1279118,10,16.04044995,0.256872077,0,73.23597561,4.099999905,23.26374714,69.72735345,7.008899411,,4.498489375,49.78189902
Sierra Leone,7,3449849770,167.2328193,0,5915086.333,0,39.58040103,116.3674259,9,6.467331629,9.189359984,2222699.25,48.44011281,0,43.26433083,54.11661118,2.619057987,4.412222222,5.348708877,94.64146634
Singapore,10,2.51E+11,2993.873249,0,5154701.444,2759.38,28.85867376,104.4035513,6,47.66231987,2.689027985,2846844.25,81.58079268,2.975000024,17.00403179,73.23819552,9.757772693,5.99,5.039731799,36.92645289
Sint Maarten (Dutch part),8,0,0,8.777777778,37301.22222,0,0,103.0760595,14,0,0,0,74.43048781,0,0,0,0,,,
Slovak Republic,13,93285348022,1989.072175,53403.22222,5399304.889,947.95,15.3669203,103.1456535,10,21.21886786,2.527214732,2703393,75.51615854,12.75,15.3178559,71.97173345,12.71041065,7.34,3.157484716,56.82594514
Slovenia,10,48823061571,2514.858239,12495,2047043.667,1275.66,19.26129923,101.4140251,9,24.49747811,2.422417506,1030253,79.5820122,7.387500047,14.1700205,68.89781767,16.93216183,7.753333333,0.664245658,54.11131489
Solomon Islands,14,853340241.4,113.6028026,0,537742.8889,0,33.31871559,106.9211143,0,0,0.430325221,209936.125,67.14573781,0,40.44431462,56.26073966,3.294945716,,4.71416896,
Somalia,5,1890222222,0,0,9821475,350,0,0,0,0,0,2856526.5,54.18889939,0,47.45542113,49.70442661,2.840152253,,,
South Africa,16,3.44E+11,1010.698828,42125.88889,51644430,1400.01,13.96365575,105.9506412,9,16.49120933,4.420157933,18645171.88,54.72538415,23.9625001,30.59097265,64.41234966,4.996677682,7.764444444,2.30827608,60.22000797
South Sudan,6,11917701558,21.96215694,0,10544366.11,0,0,177.4261137,8,-9.376812531,1.718567895,0,53.91298171,13.69999981,43.12679238,53.48790443,3.385303185,,-4.290539881,66.34190264
Spain,7,1.42E+12,2944.486301,270545.8889,46350633.33,1635.15,11.49176724,102.3443396,10,20.44106137,2.449952424,23327200.5,82.02621951,19.24999976,14.69236945,67.71777351,17.58985704,8.184444444,0.067493456,57.48718597
Sri Lanka,24,60246858796,281.4137059,17645.33333,20286666.67,352.62,27.80796372,106.4635008,9,26.76624563,1.814129181,8364970.375,74.43210366,4.862500012,25.20299037,66.90655999,7.890449642,6.271111111,6.101266715,67.81148411
St. Kitts and Nevis,11,761563740.7,1175.948953,0,53010.22222,0,48.19019935,102.6446193,11,20.54423075,3.339708447,0,0,0,0,0,0,,2.068149788,66.70217034
St. Lucia,12,1286721933,791.3364845,154.8888889,178509.4444,0,46.88951148,103.2823441,10,9.463167594,3.921688754,91714.5,74.4793811,18.37142876,24.92130988,66.637948,8.440742124,,0.400486793,73.73993709
St. Vincent and the Grenadines,12,697091614.1,580.8670616,0,109289.8889,0,0,101.5104106,12,-1.95826701,1.652186399,53891,72.3832439,18.79999924,26.098438,66.92913155,6.972430459,,0.560127611,82.06711848
Sudan,4,63731987301,267.7701122,23719.22222,36916793.89,650,0,165.8382323,7.25,10.86377678,5.585687163,11328062,62.17622256,13.9000001,41.74549673,55.06357576,3.190927507,2.523333333,4.063228271,70.5729329
Suriname,9,4370529588,872.0948602,0,522768.8889,808.02,39.03085088,111.7340277,6,55.79771648,2.920305075,202382.125,70.40960671,7.133333365,28.07870063,65.31971736,6.601582007,6.681111111,3.349430226,30.49101916
Swaziland,11,3961922844,504.1690204,526.2222222,1211795,786.93,52.23672983,108.0015676,7,13.58655242,2.445299892,418491.125,48.21767683,28.20000076,38.68608627,57.91479948,3.399114249,3.082222222,3.042001293,76.9608875
Sweden,11,5.19E+11,4363.275569,50273.11111,9456479.667,3181.11,9.064609502,101.3502299,9,29.5913853,1.801551041,5006364.625,81.5277439,7.662500024,16.81702039,64.56565722,18.61732239,9.643333333,1.5555191,45.91745916
Switzerland,9,6.18E+11,5624.437479,61690.33333,7915751.333,6301.73,6.609991258,99.23144956,12,34.47177727,3.890341182,4547897.875,82.38292683,4.087499976,15.07764044,67.80596564,17.11639393,9.088888889,1.634905098,54.21861827
Syrian Arab Republic,7,4489445112,210.3821887,42139.77778,19765281.89,251.75,64.43342259,102.8698411,9,28.93563261,1.798219117,5558989,72.01447256,10.13999977,36.56217663,59.76121538,3.676607989,1.881111111,,59.08513665
Tajikistan,10,6583859319,136.088196,18637.33333,7769354.667,187.27,0,0,9,12.77386559,4.455065673,3332027.375,68.58911281,11.5,35.56569293,61.15466745,3.279639621,2.35,6.777694478,115.7737646
Tanzania,12,35453049217,108.0207048,0,47279176.78,632.67,20.43788645,116.2635945,7,19.84754752,2.58788758,22771313.75,61.86454269,2.725000024,45.14927062,51.71314621,3.137583173,5.611111111,6.667255345,60.2940114
Thailand,16,3.52E+11,756.0002875,323046.8889,67027877.33,502.78,33.48095612,103.2091936,9,29.10234886,0.935233632,39283619.25,73.73152744,0.987500012,19.03351159,71.74754085,9.218947562,5.975555556,3.14910208,53.13726628
Timor-Leste,10,1060061195,75.57910992,547,1118349,0,16.53725789,115.3003538,9,233.9645391,0.123244457,252533.125,67.27425305,5.299999952,42.33855937,53.1635113,4.497929331,7.132222222,8.435324763,75.12977743
Togo,11,3579093134,68.93306172,0,6579353.667,0,34.64555333,101.9381272,10,0.209013152,3.301220155,3000135.75,57.57803964,0,42.73562375,54.52550905,2.738867199,3.128888889,4.103491507,85.44525221
Tonga,7,344063603.6,235.7777418,0,104267.1111,0,0,102.337717,9.75,16.07740768,0.925932508,41712.625,72.26122866,0,37.35967061,56.72580097,5.914528423,,1.236684291,96.48520041
Trinidad and Tobago,15,24739258057,1601.997971,0,1334836.778,719.49,22.96356697,105.8391029,6,31.87581815,2.624930976,674688.75,69.87178659,4.942857129,20.81694589,70.67724127,8.505812849,7.097777778,1.064049498,55.36379135
Tunisia,6,44333244076,671.7979603,61745.66667,10664766.67,393.03,35.36794209,105.7371981,9,17.35742454,2.843206946,3828360.25,74.26067073,14.69999981,23.49776071,69.0256952,7.476544091,5.022222222,2.937818505,64.89405626
Turkey,7,7.36E+11,935.8433516,422035.7778,73801224.22,756.06,22.56159097,109.5621055,9.5,14.31264693,1.31089592,25891918.13,74.20504268,9.674999952,26.69848347,66.18490241,7.116614117,5.502222222,3.527030715,70.49590941
Turkmenistan,11,28794240684,222.381031,0,5110791.333,373.33,0,0,10,0,0.755744269,2187231.625,65.10399695,0,29.23731369,66.58663324,4.176053072,1.768888889,10.42881105,19.50823087
Turks and Caicos Islands,12,0,0,11.88888889,31633.11111,0,0,0,13,0,0,0,0,6.850000143,0,0,0,,,
Tuvalu,8,30179252.83,523.6655102,0,9841.777778,0,0,0,8,0,0.136231468,0,0,0,0,0,0,,2.441725481,
Uganda,13,20680253550,150.6920636,0,34363625.56,379.79,14.70086535,117.7146063,7,18.72456881,6.414532866,13432316,56.11661585,3.049999893,48.79547694,48.68059075,2.523932309,5.158888889,6.297226889,76.07091734
Ukraine,10,1.47E+11,589.1282573,553176.4444,45782405.56,357.71,12.07802112,106.685924,11,14.01670574,3.216639276,23144730.63,70.00356707,7.700000107,14.25729343,70.00744934,15.73525724,6.076666667,-1.238324326,67.353136
United Arab Emirates,11,3.32E+11,2171.802794,17589.33333,8212829.111,3081.34,31.81180171,100.3549739,6,0,0.991468175,5479627.5,76.7535122,4.099999905,14.02047631,85.13503892,0.84448477,2.595555556,2.926177623,49.46042289
United Kingdom,11,2.69E+12,3286.64463,645641.4444,63223436.56,2960.54,14.01191944,103.1962997,11,13.17873952,1.592691119,32166629.25,80.42743902,6.962500036,17.76114222,65.5874774,16.65138039,8.227777778,1.060131428,65.19255675
United States,16,1.58E+13,8411.822219,2826394.667,311557629,3258.85,10.09504147,102.7506376,12,16.98738748,8.849867176,158433454.9,78.51554878,7.500000119,19.56593693,66.99093788,13.44312518,8.121111111,1.301418066,68.1683621
Uruguay,9,43684435145,1475.633828,3847.444444,3385462.222,862.6,23.22191979,111.3838057,13.375,16.6500562,3.012205609,1714731.25,76.46840244,7.128571374,22.30574323,63.64027074,14.05398603,8.128888889,4.813717732,67.49877375
Uzbekistan,6,45062677057,267.7538901,40939.88889,29101655.56,360.72,0,0,11.5,0,3.158658674,12458738.13,67.92696037,0,29.13709029,66.12704861,4.735861094,1.873333333,8.457905983,61.28007525
Vanuatu,13,626205839.8,117.3441402,0,242049.5556,0,52.71494048,99.78440888,0,26.56992607,0.515393108,105644.125,70.96744512,4.599999905,37.78569952,58.29763763,3.91666284,,2.560107288,57.30511775
"Venezuela, RB",18,2.60E+11,862.608804,0,29411283.44,564.76,0,226.3809356,14.75,28.91927224,3.118429833,13387933.5,73.76659451,7.750000179,29.39314956,64.94380536,5.663045076,5.11,2.073928615,59.52729427
Vietnam,11,1.38E+11,293.29334,247524.1111,87906266.67,334.6,0,113.5627606,9.125,29.49326569,3.381210762,51251441.25,75.06653049,2,23.80173436,69.61679023,6.58147541,3.075555556,6.020545308,66.61791369
Virgin Islands (U.S.),13,0,0,35.66666667,105669.7778,0,0,0,0,0,0,53343.5,79.27987805,0,20.74640886,64.70428821,14.54930293,,,
"Yemen, Rep.",7,23833917860,207.4960132,2947.444444,24248538,229,0,112.6578124,9,5.753127372,3.930350909,6666554,62.90034756,15.67499995,42.11363941,55.28954525,2.596815342,2.683333333,-1.692153196,84.28368623
Zambia,10,21434000755,153.8724933,0,14398649.56,4330.98,39.24041236,106.8645456,0,31.1826756,2.337621572,6029643.25,56.63134146,7.900000095,46.42489193,50.66370143,2.911406646,5.95,6.831356871,54.16381722
Zimbabwe,10,10246212645,89.25228347,8423.222222,14339547.33,500,0,104.5449024,7,-2.204671954,4.131436258,7161105.875,50.69453963,9.266666888,41.53414995,55.32059998,3.145250067,2.743333333,3.035033321,96.07700269
