document,topic,gamma
60s,1,0.9999971261483629
50s,1,0.9999926749082607
70s,1,0.9999174345245359
80s,1,0.9998679405308054
00s,2,0.9985746025827739
10s,2,0.9945805765167997
90s,1,0.5665976165494422
90s,2,0.43340238345055787
10s,1,0.00541942348320034
00s,1,0.0014253974172261596
80s,2,1.320594691946073e-4
70s,2,8.256547546413914e-5
50s,2,7.325091739302442e-6
60s,2,2.8738516370438335e-6
